"Products","Name","License","Can reside in","Can reside in","Can reside in","Can reside in","Can boot from","Can boot from","Can boot from","Can boot from","Can boot from","Can boot from","Can boot from","Can boot from","Can boot","Can boot","Can boot","Can boot","Can boot","Can boot","Can boot","Can boot","Can boot"
"Products","Name","License","ESP (UEFI)","MBR / VBR","MBR only","Floppy","Hard disk","Second Hard disk","Logical partitions","CD-ROM","Floppy","USB","Zip","LAN","MS-DOS","Windows 9x/Me","Windows NT series","Windows Vista/7/8","Linux","ReactOS","MenuetOS","*BSD","Mac OS X"
"P1","Acronis OS Selector","Proprietary","?","?","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","?","?","Yes","Yes"
"P2","AiR-Boot","GPLv3","?","No","Yes","?","?","?","?","?","?","?","?","?","?","?","Yes","Yes","Yes","?","?","?","?"
"P3","AKernelLoader","GPLv2","?","No","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","?","?","?","?","?","?","Yes","?","?","?","?"
"P4","Barebox","GPLv2","?","No","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","?","?","?","?","Yes","?","?","?","?"
"P5","Boot Camp","Proprietary","?","?","?","?","?","?","Yes","?","Yes","?","?","?","?","?","Yes","Yes","Yes","?","?","?","Yes"
"P6","BootIt Next Generation","Proprietary","?","?","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","?","?","?","?"
"P7","BootKey","Proprietary","?","No","No","Yes","No","No","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","?","?","?","?"
"P8","bootman","MIT","?","No","Yes","No","Yes","?","?","?","?","?","?","No","Yes","Yes","Calls NTLDR","Calls Windows Boot Manager","Calls GRUB or LILO","?","?","?","?"
"P9","BootX (Apple)","Proprietary","?","?","?","?","Yes","?","?","?","?","?","?","Yes","?","?","?","?","?","?","?","?","Yes"
"P10","BootX (Linux)","Proprietary","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","Yes","?","?","?","?"
"P11","Darwin Boot Loader","APSL 2.0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","Yes","Yes"
"P12","Das U-Boot","GPLv2","?","?","?","?","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","?","?","?","?","Yes","?","?","Yes (FreeBSD)","?"
