"Products","Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Fillrate","Fillrate","Memory","Memory","Memory"
"Products","Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","MOperations/s","MPixels/s","MTextels/s","MVertices/s","Bandwidth (GB/s)","Bus type","Bus width (bit)"
"P27","","","","","","","","","","","","","","","",""
"P1","GeForce 7025 + nForce 630a","July 2007","MCP68S","110","HyperTransport","Up to 256 system RAM","425","533
800","2:1:2:2","850","850","850","106.25","8.528
12.8","DDR2","128"
"P2","GeForce 7050PV + nForce 630a","July 2007","MCP67QV","110","HyperTransport","Up to 256 system RAM","425","533
800","2:1:2:2","850","850","850","106.25","8.528
12.8","DDR2","128"
"P3","GeForce 7050 + nForce 610i/630i","July 2007","MCP73","90","HyperTransport/FSB","Up to 256 system RAM","500","667","2:1:2:2","1000","1000","1000","125","5.336","DDR2","64"
"P4","GeForce 7100 + nForce 630i","July 2007","MCP76","90","FSB","Up to 256 system RAM","600","800","2:1:2:2","1200","1200","1200","150","6.4","DDR2","64"
"P5","GeForce 7150 + nForce 630i","July 2007","MCP76","90","FSB","Up to 256 system RAM","630","800","2:1:2:2","1260","1260","1260","157.5","6.4","DDR2","64"
"P6","GeForce 7100 GS","August 8, 2006","NV44","110","PCI-E x16","128
256","350","600","4:3:4:2","1400","700","1400","262.5","4.8","DDR2","64"
"P7","GeForce 7200 GS","January 18, 2006","G72","90","AGP 8x
PCI-E x16","128
256","450","800","2:2:4:2","1800","900","1800","337.5","6.4","DDR2","64"
"P8","GeForce 7300 SE","March 22, 2006","G72","90","PCI-E x16","128","350","666","4:3:4:2","1800","900","1800","337.5","5.328","DDR2","64"
"P9","GeForce 7300 LE","March 22, 2006","G72","90","PCI-E x16","128","350","666","4:3:4:2","1800","900","1800","337.5","5.328","DDR2","64"
"P10","GeForce 7300 GS","January 18, 2006","G72","90","AGP 8x
PCI-E x16","128
256","550","800","4:3:4:2","2200","1100","2200","412.5","6.4","DDR2","64"
"P11","GeForce 7300 GT","May 15, 2006","G73","90","AGP 8x
PCI-E x16","128
256","350","650","8:5:8:4","2800","1400","2800","437.5","10.4","DDR2","128"
"P12","GeForce 7500 LE","","G72","90","AGP 8x
PCI-E x16","64
128
256","263
324","550","4:3:4:2","900
1100","900
1100","2200","412.5","2.6
6.8","DDR2","32
64"
"P13","GeForce 7600 GS","March 22, 2006 (PCI-E)
July 1, 2006 (AGP)","G73","90","AGP 8x
PCI-E x16","256","400","800","12:5:12:8","4800","3200","4800","500","12.8","DDR2","128"
"P14","GeForce 7600 GT","March 9, 2006 (PCI-E)
July 15, 2006 (AGP)","G73","90","AGP 8x
PCI-E x16","256","560","1400","12:5:12:8","6720","4480","6720","700","22.4","GDDR3","128"
"P15","GeForce 7600 GT 80 nm","January 8, 2007","G73-B1","80","AGP 8x
PCI-E x16","256","560","1400","12:5:12:8","6720","4480","6720","700","22.4","GDDR3","128"
"P16","GeForce 7800 GS","February 2, 2006","G70","110","AGP 8x","256","375","1200","16:8:16:8","6000","3000","6000","562.5","38.4","GDDR3","256"
"P17","GeForce 7800 GT","August 11, 2005","G70","110","PCI-E x16","256","400","1000","20:7:20:16","8000","6400","8000","700","32","GDDR3","256"
"P18","GeForce 7800 GTX","June 22, 2005 (256 MB)
November 14, 2005 (512 MB)","G70","110","PCI-E x16","256
512","430 (256 MB)
550 (512 MB)","1200 (256 MB)
1700 (512 MB)","24:8:24:16","10320 (256 MB)
13200 (512 MB)","6880 (256 MB)
8800 (512 MB)","10320 (256 MB)
13200 (512 MB)","860 (256 MB)
1100 (512 MB)","38.4 (256 MB)
 54.4 (512 MB)","GDDR3","256"
"P19","GeForce 7900 GS","May 2006 (PCI-E)
April 2, 2007 (AGP)","G71","90","AGP 8x
PCI-E x16","256","450","1320","20:7:20:16","9000","7200","9000","787.5","42.24","GDDR3","256"
"P20","GeForce 7900 GT","March 9, 2006","G71","90","PCI-E x16","256","450","1320","24:8:24:16","10800","7200","10800","900","42.24","GDDR3","256"
"P21","GeForce 7900 GTO","October 1, 2006","G71","90","PCI-E x16","512","650","1320","24:8:24:16","15600","10400","15600","1300","42.24","GDDR3","256"
"P22","GeForce 7900 GTX","March 9, 2006","G71","90","PCI-E x16","512","650","1600","24:8:24:16","15600","10400","15600","1300","51.2","GDDR3","256"
"P23","GeForce 7900 GX2","March 9, 2006","G71 x2","90","PCI-E x16","1024","500","1200","24:8:24:16 x2","24000","16000","24000","2000","76.8","GDDR3","512"
"P24","GeForce 7950 GT","September 6, 2006 (PCI-E)
April 2, 2007 (AGP)","G71","90","AGP 8x
PCI-E x16","512","550","1400","24:8:24:16","13200","8800","13200","1100","44.8","GDDR3","256"
"P25","GeForce 7950 GX2","June 5, 2006","G71 x2","90","PCI-E x16","1024","500","1200","24:8:24:16 x2","24000","16000","24000","2000","76.8","GDDR3","512"
"P26","","","","","","","","","","","","","","","",""
