"IDE","Developer","Latest stable release","Platform","License"
"Decoda","Unknown Worlds Entertainment","1.16 / October 25, 2011","Windows","Open-source"
"Codea","TwoLivesLeft","2.0 / March 24, 2014","iOS","Proprietary"
"ZeroBrane Studio","Paul Kulchenko, ZeroBrane LLC","1.10 / May 13, 2015","Windows, Mac, Linux","MIT"
