"Product","Developer","Pagination","Rotation Lock","Auto-scroll","Progress indicator","Backward/forward","Table of Contents","Bookmarks","Resume","Cloud synchronisation","Go To","Full text search"
"Apabi Reader","Beijing Founder Apabi Technology Limited","Yes","Yes","No","In library and in-book","Yes","Yes","Unlimited","Yes","No","Yes","Yes"
"Blio","K-NFB Reading Technology, Inc.","Yes","No","No","In-book only","Yes","Yes","Unlimited","Yes","No","Yes","Yes"
"Bluefire Reader","Bluefire Productions","Yes","Yes","No","In-book only","Yes","Yes","Unlimited","Yes","Yes","Yes","Yes"
"DL Reader","Datalogics, Inc","Yes","Yes","No","In-book only","Yes","Yes","Unlimited","Yes","No","Yes","Yes"
"eBookMobi","Tien Thinh Vu","Yes","support on iPad, portrait only on iPhone","No","In library and in-book","Yes","Yes","Unlimited","Yes","No","Yes","No"
"Ebook Reader","Ebooks.com Limited","Yes","Yes","No","In library and in-book","Yes","Yes","Unlimited","Yes","Yes","Yes","Yes"
"i2Reader","Yuriy Melyushin","Yes","Yes","Yes","In-book only","Yes","Yes","Unlimited","Yes","No","Yes","Yes"
"iBooks","Apple","Yes","No","Manual","In-book only","Yes","Yes","Unlimited","Yes","Yes","Yes","Yes"
"Kindle","AMZN Mobile LLC","Yes","Yes","No","In library and in-book","Yes","Yes","Unlimited","Yes","Yes","Yes","Yes"
"Kobo Reading App","Kobo Inc.","Yes","Yes","No","In-book only","Yes","Yes","Last place marker only","Yes","Yes","Yes","No"
"KyBook Reader","Konstantin Bukreev","Yes","Yes","No","In library and in-book","Yes","Yes","Unlimited","Yes","No","Yes","Yes"
"Marvin","Appstafarian","Yes","Yes","No","In library and in-book","Configurable","Yes","Unlimited","Yes","Optional","Yes","Yes"
"MegaReader","Inkstone Software, Inc.","Yes","Yes","No","In-book only","Yes","Yes","Unlimited","Yes","No","Yes","No"
"PocketBook reader","Obreey Products","Yes","Yes","Yes","In-book only","Yes","Yes","Yes","Yes","No","Yes","Yes"
"ShuBook","Ambibma Ltd.","Yes","Yes","No","In library and in-book","Yes","Yes","Unlimited","Yes","No","Yes","Yes"
"Stanza","Lexcycle","Configurable","Yes","No","In library and in-book","Configurable","Yes","Unlimited","Yes","No","Yes","Yes"
"uBooks","NIX Solutions Ltd","Mixed scrolling & pagination","Yes","Yes","In-book only","Yes","Yes","Unlimited","Yes","No","Yes","Yes"
"iBouquiniste","Sandr","Yes","Yes","No","In-book only","Yes","Yes","Unlimited","Yes","Yes","Yes","Yes"
"","","","","","","","","","","","",""
