"Application","Microsoft Windows","Mac OS X","Linux","BSD","Unix"
"Alcohol 120%","Yes","No","No","No","No"
"CDBurnerXP","Yes","No","No","No","No"
"cdrtools","Yes","Yes","Yes","Yes","Yes"
"DeepBurner","Yes","No","No","No","No"
"ImgBurn","Yes","No","No","No","No"
"InfraRecorder","Yes","No","No","No","No"
"K3b","No","No","Yes","Yes","No"
"Nero Burning ROM","Yes","No","Yes","No","No"
"PowerISO","Yes","No","Partial","No","No"
"UltraISO","Yes","No","No","No","No"
"X-CD-Roast","No","Yes","Yes","Yes","Yes"
"Application","Microsoft Windows","Mac OS X","Linux","BSD","Unix"
