"OLAP Server","Company","Website","Latest stable version","Software license","License Pricing"
"Essbase","Oracle","","11.1.2.4","Proprietary",""
"icCube","icCube","","5.1","Proprietary","community/"
"Jedox OLAP Server","Jedox","","5.1 SR4","GPL v2 or EULA, Proprietary","-"
"Infor BI OLAP Server","Infor","","10.6.0","Proprietary","-"
"Microsoft Analysis Services","Microsoft","","2014","Proprietary",""
"MicroStrategy Intelligence Server","MicroStrategy","","9","Proprietary","-"
"Mondrian OLAP server","Pentaho","","3.7","EPL","free"
"Oracle Database OLAP Option","Oracle","","11g R2","Proprietary",""
"SAS OLAP Server","SAS Institute","","9.4","Proprietary","-"
"SAP NetWeaver BW","SAP","","7.30","Proprietary","-"
"Cognos TM1","IBM","","10.2.2 FP3","Proprietary","-"
"Cubes","Open source community","","1.0.1","MIT","-"
