"Product","Paging touch screen","Paging volume key","Backward-forward","Contents table","Bookmarks","Resume","Go to","Search full text","Sync to cloud","Autoscroll by pixel","Autoscroll by line","Autoscroll by page","Scroll speed control","Rolling blind mode","Continuous scrolling"
"Aldiko Book Reader","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","No","No","No","No","No","?"
"AlReader","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes"
"Cool Reader","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?","Yes"
"EBookDroid","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?","Yes"
"Ebook Reader","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No"
"FBReader","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No"
"Google Play Books","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?"
"iReader","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","No","Yes","Yes","Yes","No","?"
"Kindle","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?"
"Kobo Books","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","No","No","No","No","No","No"
"Lektz eBook Reader","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","?"
"Mantano Ebook Reader","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No"
"Moon+ reader","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"PocketBook","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","?"
"Snapplify","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","?"
"Socio eReader","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","?","No","No","No","No","No","?"
"","","","","","","","","","","","","","","",""
