"JVM","Windows","Linux","FreeBSD","NetBSD","OpenBSD","Solaris","OpenSolaris","Darwin","Mac OS X","iOS","BeOS","Haiku","AIX","IRIX","OS/2","Windows Mobile","AmigaOS","Other"
"Avian","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No",""
"CACAO","Using Cygwin","Yes","Yes","Yes","No","Yes","Yes","Yes","?","No","No","No","No","Yes","No","No","No","kFreeBSD, ucLinux"
"CEE-J","Yes","Yes","?","?","?","?","?","?","Yes","?","?","?","?","?","?","?","?","?"
"GCJ","Yes","Yes","Yes","?","?","Yes","?","Yes","Yes","?","?","?","?","Yes","?","No","No","DEC OSF 4.0f and 5.1, Hitachi SH-3/4 micro-controller"
"HotSpot, OpenJDK edition","Yes (distributed as source code)","Yes","Port","Port","Port","Yes","Yes","?","Yes","No","No","Port","Port","No","Port","No","No",""
"HotSpot, Oracle JDK edition","Yes","Yes","No","No","No","Yes","?","?","Yes","No","No","No","No","No","No","No","No",""
"HotSpot, Java SE embedded edition","Yes","Yes","No","No","No","Yes","?","No","No","No","No","No","No","No","No","No","No",""
"HotSpot, Zero port","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"IKVM.NET","Any operating system with a .NET framework","Any operating system with a .NET framework","Any operating system with a .NET framework","Any operating system with a .NET framework","Any operating system with a .NET framework","Any operating system with a .NET framework","Any operating system with a .NET framework","Any operating system with a .NET framework","Any operating system with a .NET framework","Any operating system with a .NET framework","Any operating system with a .NET framework","Any operating system with a .NET framework","Any operating system with a .NET framework","Any operating system with a .NET framework","Any operating system with a .NET framework","Any operating system with a .NET framework","Any operating system with a .NET framework","Any operating system with a .NET framework"
"JAmiga","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes",""
"JamVM","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","On Jailbroken iPhone","No","No","No","No","No","No","No","kFreeBSD"
"Jato VM","No","Yes","No","No","No","No","No","Under development","?","No","No","No","No","No","No","No","No",""
"JC virtual machine","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"Jikes RVM","No","Yes","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No",""
"Kaffe","Using Cygwin","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","No","Yes","No","Yes","Yes","No","No","Yes","HPUX 11.x, BSDI 2.x, Unixware, SCO 3.2v5, NeXTStep 3.x, DG/UX, OpenStep 4.x, QNX 4.x, NCR MP-RAS 3.x, OSKit 0.96 +, GNU Hurd, Cygwin, DragonFly BSD, Interix, Ultrix 4.2, PS2Linux, AUX, MachTen 4.0.3, Fujitsu UXP/DS"
"Mysaifu JVM","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No",""
"SableVM","Using Cygwin","Yes","Yes","?","?","?","?","?","Yes","?","?","?","?","?","?","?","?",""
"VMKit J3","No","Yes","No","No","No","No","No","?","Yes","No","No","No","No","No","No","No","No",""
"Zing","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"Zulu","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No",""
