"Preposition +
demonstrative
(Portuguese)","de","em"
"este (masc.sing.)
esta (fem.sing.)
estes (masc.pl.)
estas (fem.pl.)","deste
desta
destes
destas","neste
nesta
nestes
nestas"
"esse (masc.sing.)
essa (fem.sing.)
esses (masc.pl.)
essas (fem.pl.)","desse
dessa
desses
dessas","nesse
nessa
nesses
nessas"
"aquele (masc.sing.)
aquela (fem.sing.)
aqueles (masc.pl.)
aquelas (fem.pl.)","daquele
daquela
daqueles
daquelas","naquele
naquela
naqueles
naquelas"
