"","Creator","Released","Latest version","List price (USD)","License","Supported OS (without emulation)"
"Adobe Streamline","Adobe Systems","1989","4.0","discontinued","Proprietary",""
"CorelDRAW","Corel","1989","X7","$449, $169 upgrade","Proprietary","Windows"
"Easy Trace","Easy Trace Group","2009","9.0 build 1856","1500 Euro, 750 Euro upgrade","Proprietary","Windows"
"Macromedia Freehand","Macromedia","1988","11.0.2 discontinued (MX)","$399, $99 upgrade","Proprietary","Windows, Mac OSX"
"Adobe Illustrator","Adobe Systems","1985","16.0.0 (CS6)","$499, $169 upgrade","Proprietary","Windows, Mac OSX"
"Inkscape","Inkscape.org","2003","0.91","free","GPL","Windows, Mac OSX, Linux"
"MagicTracer","Elgorithms","2003","2.0.012","$59","Proprietary","Windows"
"Potrace","Peter Selinger","2001","1.11","free","GPL","Windows, Mac OSX, Linux, BSD, AmigaOS/AROS"
"Scan2CAD","Avia Systems","2010","Version 8","$249 – $399","Proprietary","Windows"
"Xara Photo & Graphic Designer","Xara Group Ltd.","1994","2014 (v10)","$89.99","Proprietary","Windows"
"","Creator","Released","Latest version","List price (USD)","License","Supported OS (without emulation)"
