"Audio compression format","Creator","First public release date","Latest stable version","Encoder cost","Player cost","Proprietary implementations (codecs)","Open-source implementations (codecs)","Application (besides consumer audio)","Music reproduction (consumer audio)","Telephony app","Lossless audio compression","Patented","DRM"
"SBC","Bluetooth SIG","2003","A2DP 1.3 (2012-07-24)","Free for Bluetooth","Free for Bluetooth","A2DP","BlueZ","Bluetooth audio","Yes","Yes","No","Non-free Yes","No"
"Shorten","Tony Robinson","1993-03-30","3.6.1","Free","Free","Shorten","FFmpeg (decoding only)","-","-","No","Yes","No (with commercial use restriction)","No"
"SILK","Skype Limited","2009-01-07","","Free","Free","Skype","SILK Speech Codec","voice recording","No","No","No","Non-free Yes","?"
"Siren 7","PictureTel Corp. (now Polycom Inc.)","1999","","?","?","Microsoft Office Communicator","FreeSWITCH (libg722_1, aMSN (libsiren - part of libmsn)","voice recording","No","Yes","No","Non-free Yes","?"
"Speex","Xiph.Org Foundation, Jean-Marc Valin","2003-03-24","1.1.12","Free","Free","Adobe Flash Player 10","Speex, FFmpeg with libspeex library","voice recording","No","Yes","No","No","No"
"SVOPC","Skype Limited","2007","","?","?","Skype","","voice recording","No","Yes","No","Non-free Yes","?"
"True Audio (TTA)","TAU Software","1999","2.2","Free","Free","","TTA, FFmpeg (decoding only)","-","-","Yes","Yes","No","No"
"TwinVQ","Nippon Telegraph and Telephone","1996 (?)","","Non-free","Non-free","Winamp with VQF plugin, NTT TwinVQ player/encoder, Yamaha SoundVQ player, Nero Media Player","FFmpeg (decoding only)","speech","Yes","No","No","Non-free Yes","?"
"Vorbis (Ogg)","Xiph.Org Foundation","2000-05-11","1.3.5","Free","Free","","libvorbis, aoTuV, FFmpeg","-","Yes","No","No","No","No"
"WavPack","Conifer Software","1998","4.70.1","Free","Free","","WavPack, FFmpeg (decoding only)","-","-","Yes","Yes","No","No"
"Windows Media Audio","Microsoft","1999","11.0","Free Windows Media Encoder","Free for licensees of the Windows operating system","Windows Media Player, Windows Media Encoder","FFmpeg (decoding only for Pro, Lossless and Voice)","internet streaming","Yes","No","Yes","Non-free Yes","Non-free"
"","","","","","","","","","","","","",""
