"Model","Launch","Code name","Fab (nm)","Transistors (Million)","Die Size (mm)","Bus interface","Memory (MB)","Clock rate","Clock rate","Config core","Fillrate","Fillrate","Memory","Memory","Memory","Processing Power
GFLOPS","Processing Power
GFLOPS","TDP (W)","TDP (W)","GFLOPS/W
Single Precision","API support (version)","API support (version)","API support (version)","Release Price (USD)"
"Model","Launch","Code name","Fab (nm)","Transistors (Million)","Die Size (mm)","Bus interface","Memory (MB)","Core (MHz)","Memory (MHz)","Config core","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","Single Precision","Double Precision","Idle","Max.","DirectX","GFLOPS/W
Single Precision","OpenCL","","","Release Price (USD)"
"Radeon HD 2350","Jun 28, 2007","RV610","65","180","85","PCIe 1.0 ×16
AGP","256","525","400","40:4:4","2.10","2.10","6.40","DDR2","32","42.0","No","","20","2.1","10.0","3.3","No","?"
"Radeon HD 2400 PRO","Jun 28, 2007","RV610","65","180","85","PCIe 1.0 ×16
AGP
PCI","128
256
512","525","400","40:4:4","2.10","2.10","6.40","DDR2","64","42.0","No","","20","2.1","10.0","3.3","No","?"
"Radeon HD 2400 XT","Jun 28, 2007","RV610","65","180","85","PCIe 1.0 ×16","256","650","500","40:4:4","2.60","2.60","6.40","GDDR3","64","52.0","No","","25","2.24","10.0","3.3","No","?"
"Radeon HD 2600 PRO","Jun 28, 2007","RV630","65","390","153","PCIe 1.0 ×16
AGP","256
512","600
600","500
700","120:8:4","2.40","4.80","16.0
21.9","DDR2
GDDR3","128","144.0","No","","35","4.11","10.0","3.3","No","?"
"Radeon HD 2600 XT","Jun 28, 2007","RV630","65","390","153","PCIe 1.0 ×16
AGP","256
512","800
800","800
1100","120:8:4","3.20","6.40","22.4
35.2","GDDR3
GDDR4","128","192.0","No","","45
50","4.27
3.84","10.0","3.3","No","?"
"Radeon HD 2900 GT","Nov 6, 2007","R600 GT","80","720","420","PCIe 1.0 ×16","256
512","601","800","240:12:12","7.21","7.21","51.2","GDDR3","256","288.5","No","","150","1.92","10.0","3.3","No","?"
"Radeon HD 2900 PRO","Sep 25, 2007","R600 PRO","80","720","420","PCIe 1.0 ×16","512
1024","600
600","800
925","320:16:16","9.6","9.6","51.2
102.4
118.4","GDDR3
GDDR4","256
512","384.0","No","","200","1.92","10.0","3.3","No","?"
"Radeon HD 2900 XT","May 14, 2007","R600 XT","80","720","420","PCIe 1.0 ×16","512
1024","743
743","828
1000","320:16:16","11.9","11.9","105.6
128.0","GDDR3
GDDR4","512","475.5","No","","215","2.2","10.0","3.3","No","?"
