"Products","Format","Full name","Owner","Based Format","File extension","MIME type","Application","Patented"
"P1","Abc","Advanced Bitonal Compression","LEAD Technologies","",".abc","","Bitonal document and check images.","Yes"
"P2","ADRG","ARC Digitized Raster Graphics","","",".adrg","","",""
"P3","AdobeResource","","Adobe Systems","TIFF?","","","",""
"P4","ADRI","ARC Digitized Raster Images","","",".adri","","",""
"P5","AI","Adobe Illustrator Document","Adobe Systems","",".ai","application/illustrator, application/postscript","Adobe Illustrator files are editable using programs that support the format, such as Adobe Illustrator, Inkscape, CorelDRAW, etc.","Yes"
"P6","Alias Pix image","","","",".pix, .matte, .mask,
.alpha, .als","","Supported by GIMP",""
"P7","AMI","","","",".ami","","Supported by Amica Paint",""
"P8","ANI","ANI file format","Microsoft","RIFF",".ani","","Used by Microsoft Windows",""
"P9","ANIM","","Electronic Arts and Commodore Amiga","IFF",".iff, .anim","video/x-anim","",""
"P10","APNG","Animated Portable Network Graphics","Mozilla","PNG",".png","image/png","1.9 and Opera","No"
"P11","Apple Icon Image","","Apple Inc.","",".icns","","Used by Mac OS X",""
"P12","APX","","","",".apx","","Supported by Ebuyer Photo Paint",""
"P13","ART","","AOL","",".art","","",""
"P14","ART","PFS: 1st Publisher clip art","","",".art","","",""
"P15","ASCII art","","","",".txt, .ansi, .text","text/plain","Supported by GIMP",""
"P16","Authorware map","","Adobe Systems","",".aam","application/x-authorware-map","",""
"P17","Authorware seg","","Adobe Systems","",".aas","application/x-authorware-seg","",""
"P18","Authorware bin","","Adobe Systems","",".aab, .x32, .u32,
.vox","application/x-authorware-bin","",""
"P19","AutoCAD DXF","Drawing Interchange Format","Autodesk","",".dxf","image/vnd.dxf","",""
"P20","AWD","","","",".awd","image/awd","Used by PhotoPhilia",""
"P21","ARW","Sony Alpha RAW","Sony","TIFF",".arw","","",""
"P22","BAY","Casio RAW","Casio","",".bay","","",""
"P23","BigTIFF","","","TIFF",".btf, .tiff, .tif","image/tiff","",""
"P24","BMP","Windows bitmap","Microsoft","",".bmp, .dib, .rle,
.2bp (2bpp)","image/x-bmp","Used by many 2D applications.","No"
"P25","bmp compressor","Bit Map Compressor","","",".hpc","","",""
"P26","BLEND","","","",".blend","","Supported by Blender",""
