"Service","Owner","Launched","Primary service","Software license","Content license","Multilingual","Ad-free"
"Facebook","Facebook, Inc.","2004-02","social network","proprietary","own TOS","Yes","No"
"Google+","Google, Inc.","2011-06","social network","proprietary","own TOS","Yes","No"
"identi.ca","Status Net, Inc.","2008-07","micro-blogging","Apache v2 (pump.io)","CC-BY 3.0","Yes","Yes"
"Tout","Tout","2010-04","micro-blogging","proprietary","own TOS","Yes","Yes"
"Twitter","Twitter, Inc.","2006-08","micro-blogging","proprietary","own TOS","Yes","No"
"Yammer","Yammer, Inc.","2008-09","micro-blogging","proprietary","own TOS","Yes","Yes"
"Instapray","Instapray, Inc.","2013-03","social network","proprietary","own TOS","No","No"
