"Products","Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Fillrate","Fillrate","Memory","Memory","Memory"
"Products","Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","MOperations/s","MPixels/s","MTextels/s","MVertices/s","Bandwidth (GB/s)","Bus type","Bus width (bit)"
"P25","","","","","","","","","","","","","","","",""
"P1","GeForce FX 5200","March 2003","NV34","150","AGP 8X
PCI","64
128","250","400","4:1:4:4","1000","1000","1000","62.5","3.2
6.4","DDR","64
128"
"P2","GeForce FX 5200 Ultra","March 6, 2003","NV34","150","AGP 8X","64
128","325","650","4:1:4:4","1300","1300","1300","81.25","10.4","DDR","128"
"P3","GeForce PCX 5300","March 17, 2004","NV34","150","PCI-E x16","128","250","400","4:1:4:4","1000","1000","1000","62.5","3.2
6.4","DDR","64
128"
"P4","GeForce FX 5500","March 2004","NV34B","140","AGP 8X
AGP 4X
PCI","64
128
256","270","400","4:1:4:4","1080","1080","1080","67.5","3.2
6.4","DDR","64
128"
"P5","GeForce FX 5600 XT","October 2003","NV31","130","AGP 8X","64
128","235","400","4:1:4:4","940","940","940","58.75","6.4","DDR","128"
"P6","GeForce FX 5600","March 2003","NV31","130","AGP 8X
PCI","64
128
256","325","550","4:1:4:4","1300","1300","1300","81.25","8.8","DDR","128"
"P7","GeForce FX 5600 Ultra","March 6, 2003","NV31","130","AGP 8X","64
128","350","700","4:1:4:4","1400","1400","1400","87.5","11.2","DDR","128"
"P8","GeForce FX 5600 Ultra Rev.2","March 6, 2003","NV31","130","AGP 8X","64
128","400","800","4:1:4:4","1600","1600","1600","100","12.8","DDR","128"
"P9","GeForce FX 5700 VE","September 2004","NV36","130","AGP 8X","128
256","235","400","4:3:4:4","940","940","940","106.5","6.4","DDR","128"
"P10","GeForce FX 5700 LE","March 2004","NV36","130","AGP 8X","128
256","250","400","4:3:4:4","1000","1000","1000","187.5","6.4","DDR","128"
"P11","GeForce FX 5700","2003","NV36","130","AGP 8X","128
256","425","500","4:3:4:4","1700","1700","1700","318.75","8","DDR","128"
"P12","GeForce PCX 5750","March 17, 2004","NV36","130","PCI-E x16","128","425","500","4:3:4:4","1700","1700","1700","318.75","8","DDR","128"
"P13","GeForce FX 5700 Ultra","October 23, 2003","NV36","130","AGP 8X","128
256","475","900","4:3:4:4","1900","1900","1900","356.25","14.4","GDDR2","128"
"P14","GeForce FX 5700 Ultra GDDR3","March 15, 2004","NV36","130","AGP 8X","128
256","475","950","4:3:4:4","1900","1900","1900","356.25","15.2","GDDR3","128"
"P15","GeForce FX 5800","January 27, 2003","NV30","130","AGP 8X","128","400","800","4:2:8:4","1600","1600","3200","200","12.8","GDDR2","128"
"P16","GeForce FX 5800 Ultra","January 27, 2003","NV30","130","AGP 8X","256","500","1000","4:2:8:4","2000","2000","4000","250","16","GDDR2","128"
"P17","GeForce FX 5900 ZT","December 15, 2003","NV35","130","AGP 8X","128","325","700","4:3:8:4","1300","1300","2600","343.75","22.4","DDR","256"
"P18","GeForce FX 5900 XT","2003","NV35","130","AGP 8X","128","390","700","4:3:8:4","1600","1600","3200","300","22.4","DDR","256"
"P19","GeForce FX 5900","May 2003","NV35","130","AGP 8X","128","400","850","4:3:8:4","1600","1600","3200","300","27.2","DDR","256"
"P20","GeForce FX 5900 Ultra","May 12, 2003","NV35","130","AGP 8X","128
256","450","850","4:3:8:4","1800","1800","3600","337.5","27.2","DDR","256"
"P21","GeForce PCX 5900","March 17, 2004","NV35","130","PCI-E x16","128
256","450","850","4:3:8:4","1800","1800","3600","337.5","27.2","DDR","256"
"P22","GeForce FX 5950 Ultra","October 23, 2003","NV38","130","AGP 8X","256","475","950","4:3:8:4","1900","1900","3800","356.25","30.4","DDR","256"
"P23","GeForce PCX 5950","February 17, 2004","NV38","130","PCI-E x16","256","475","950","4:3:8:4","1900","1900","3800","356.25","30.4","GDDR3","256"
"P24","","","","","","","","","","","","","","","",""
