"Products","","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"P4","","3.1","Yes","1.0","Yes","Yes","1.0","Yes"
"P9","","3.1","","1.0","","","1.0",""
"P10","","3.1","","1.0","","","1.0",""
"P11","","3.1","","1.0","","","1.0",""
"P12","","3.1","","1.0","","","1.0",""
"P13","","3.1","","1.0","","","1.0",""
"P1","Basic table elements","Basic table elements","Basic table elements","Basic table elements","Basic table elements","Basic table elements","Basic table elements","Basic table elements"
"P2","Row groups","Row groups","Row groups","Row groups","Row groups","Row groups","Row groups","Row groups"
"P3","","3.1","Yes","1.0","Yes","Yes","1.0","Yes"
"P5","","3.1","?","1.0","","","1.0",""
"P6","Column groups","Column groups","Column groups","Column groups","Column groups","Column groups","Column groups","Column groups"
"P7","","3.1","?","1.0","Yes","Yes","1.0","Yes"
"P8","","3.1","","1.0","","","1.0",""
