"Name","Creator","First public release","Latest stable version","Latest release date","Cost, availability","License"
"Avian","ReadyTalk","2008, March 3","1.0.1","2014, June 2","Free","ISC license"
"CACAO","Vienna University of Technology","?","1.6.0","2012, September 4","Free","GPL version 2 or later."
"CEE-J","Skelmir","1998","4.4","2014, December","Commercial","Proprietary"
"GCJ","GNU","?","?","?","Free","GPL version 2 or later, with the ""libgcc exception""."
"HotSpot, OpenJDK edition","Sun Microsystems, Oracle","1999, April 27","?","2012, October 26","Free","GPL version 2 only."
"HotSpot, Oracle JDK edition","Sun Microsystems, Oracle","1999, April 27","?","?","Free","Proprietary"
"HotSpot, Java SE embedded edition","Sun Microsystems, Oracle","1999, April 27","?","?","Commercial","Proprietary"
"HotSpot, Zero port","Gary Benson","?","?","?","Free","GPL version 2 only."
"IKVM.NET","Jeroen Frijters","2004, June 28","7.0.4335.0","2011, December 5","Free","zlib License"
"JAmiga","Peter Werno, Joakim Nordström","2005, May 19","0.0.6","2010, May 21","Free","GPL version 2 or later."
"JamVM","Robert Lougher","2003, March 13","2.0.0","2014, July 30","Free","GPL version 2 or later."
"Jato VM","Pekka Enberg and contributors","?","0.3","2012, January 4","Free","GPL version 2 only."
"JC virtual machine","Archie L. Cobbs","?","1.4.7","2005, November 13","Free","LGPL version 2.1 or later"
"Jikes RVM","IBM","2001, October 14","3.1.3","2013, February 12","Free","Eclipse Public License version 1.0"
"Kaffe","Transvirtual Technologies","1996","1.1.9","2008, February 22","Free","GPL version 2 or later."
"Mysaifu JVM","?","2005, April 16","0.4.8","2010, March 5","Free","GPL version 2 only"
"SableVM","Sable Research Group","?","1.13","2007, March 30","Free","LGPL version 2.1 or later."
"VMKit J3","?","2008, October 20","0.30","?","Free","University of Illinois/NCSA Open Source License"
"Zing","Azul Systems","Zing 4.0, October 2010","Zing 15.05","2015, May","Commercial","Proprietary"
"Zulu","Azul Systems","Zulu 7.0, September 2013","Zulu 8.7","2015, May","Free","GNU General Public License Version 2"
