"File system","Maximum filename length","Allowable characters in directory entries","Maximum pathname length","Maximum file size","Maximum volume size",""
"Acorn ADFS","10 bytes","Any ISO 8859-1 character except:","No limit defined","512 MB or 4 GB","512 MB or 4 GB",""
"AdvFS","226 characters","Any byte except NUL","No limit defined","16 TB","16 TB",""
"Apple DOS 3.x","30 bytes","Any byte except NUL","30 B, no subdirectories (105 files per disk)","Unknown","140 kB DOS 3.3 (assuming standard 35 tracks)
113.75 kB DOS 3.1, 3.2",""
"Apple ProDOS","15 bytes","A-Z, a-z, 0-9, and period","64 B, including slashes","16 MB","32 MB",""
"BFS","255 bytes","Any byte except NUL","No limit defined","260 GB","2 EB",""
"Btrfs","255 bytes","Any byte except NUL","Unknown","16 EB","16 EB",""
"CBM DOS","16 bytes","Any byte except NUL","Non-hierarchical","16 MB","16 MB",""
"CP/M file system","8.3","any byte except:","16 ""user areas"", no subdirectories","8 MB","8 MB to 512 MB",""
"DECtape","6.3","A–Z, 0–9","DTxN:FILNAM.EXT = 15","369280 B (577 * 640)","369920 B (578 * 640)",""
"DOS (GEC)","8 bytes","A–Z, 0–9","Non-hierarchical","64 MB","64 MB",""
"Elektronika BK tape format","16 bytes","Unknown","Non-hierarchical","64 kB","800 kB (approx) per side for 90 min cassette (limited only by tape length)",""
"exFAT","255 characters","Any Unicode except NUL","No limit defined","127 PB","64 ZB, 512 TB recommended",""
"ext2","255 bytes","Any byte except NUL and /","No limit defined","2 TB","32 TB",""
"ext3","255 bytes","Any byte except NUL and /","No limit defined","2 TB","32 TB",""
"ext3cow","255 bytes","Any byte except NUL, / and @","No limit defined","2 TB","32 TB",""
"ext4","255 bytes","Any byte except NUL and /","No limit defined","16 TB","1 EB",""
"TexFAT","247 characters","Any Unicode except NUL","No limit defined","2 GB","500 GB Tested",""
"F2FS","255 bytes","Unknown","Unknown","3.94 TB","16 TB",""
"FAT12","8.3 (255 UCS-2 code units with VFAT LFN)","Any byte except for values 0-31, 127 (DEL) and:  (lowcase a-z are stored as A-Z). With VFAT LFN any Unicode except NUL","No limit defined","32 MB (256 MB)","32 MB (256 MB with 4K sectors and 64 KB clusters)",""
"FAT16","8.3 (255 UCS-2 code units with VFAT LFN)","Any byte except for values 0-31, 127 (DEL) and:  (lowcase a-z are stored as A-Z). With VFAT LFN any Unicode except NUL","No limit defined","2 GB (4 GB with LFS)","2 GB or 4 GB",""
"FAT32","8.3 (255 UCS-2 code units with VFAT LFN)","Any byte except for values 0-31, 127 (DEL) and:  (lowcase a-z are stored as A-Z). With VFAT LFN any Unicode except NUL","No limit defined","2 GB (4 GB with LFS","2 TB (16 TB)",""
"FATX","42 bytes","ASCII.  Unicode not permitted.","No limit defined","2 GB","2 GB",""
"FFS","255 bytes","Any byte except NUL","No limit defined","8 ZB","8 ZB",""
"Fossil","65535 bytes of UTF-8 characters","Any Unicode except 0-31","No limit defined","8 EB","Unknown",""
"GFS","255","Any byte except NUL","No limit defined","8 EB","8 EB",""
"IBM Spectrum Scale","255 UTF-8 codepoint","Any byte except NUL and /","No limit defined","8 EB","8 YB (18 PB tested)",""
"HAMMER","Unknown","Unknown","Unknown","Unknown","1 EB",""
"HFS","31 bytes","Any byte except","Unlimited","2 GB","2 TB",""
"HFS Plus","255 UTF-16 code units","Any valid Unicode","Unlimited","8 EB","8 EB",""
"High Sierra","Unknown","Unknown","Unknown","Unknown","Unknown|-",""
"HPFS","255 bytes","Any byte except NUL","No limit defined","2 GB","2 TB",""
