"Model","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Shader clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Memory","Memory","Memory","Processing Power 
 GFLOPS","API support (version)","API support (version)","TDP (watts)","Notes"
"Model","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Shader clock (MHz)","Memory clock (MHz)","Core config","Pixel (GP/s)","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","Single precision","DirectX","OpenGL","TDP (watts)","Notes"
"NVS 2100M","GT218M","40","PCIe 2.0 x16","up to 512","535","1230","1600","16:8:4","2.14","4.28","12.8","GDDR3","64","59.04","10.1","3.3","14",""
"NVS 3100M","GT218M","40","PCIe 2.0 x16","up to 512","600","1470","1600","16:8:4","2.4","4.8","12.8","GDDR3","64","70.56","10.1","3.3","14","based on G210M/310M"
"NVS 4200M","GF119","40","PCIe 2.0 x16","up to 1024","810","1620","1600","48:8:4","3.24","6.48","12.8","GDDR3","64","155.52","11","4.5","","based on GT 520M"
"NVS 5100M","GT216M","40","PCIe 2.0 x16","up to 1024","550","1210","1600","48:16:8","4.4","8.8","25.6","GDDR3","128","174.24","10.1","3.3","35",""
"NVS 5200M","GF108","40/28","PCIe 2.0 x16","up to 1024","625","1250","1800","96:16:4","2.5","10","14.4","GDDR3","64","240","11","4.5","35",""
"NVS 5400M","GF108","40/28","PCIe 2.0 x16","up to 2048","660","1320","1800","96:16:4","2.64","10.56","28.8","GDDR3","128","253.44","11","4.5","35",""
