"","Creator","Latest stable version","Release date","OS","Free according to the FSF","Software license","Open source","Programming language","Plugin Support"
"Launchy","Josh Karlin","2.5.0","April 4, 2010","Microsoft Windows, Linux, Mac OS X","Yes","GPL","Yes","C++ (Qt)","Yes"
"jPort","S.Chekanov and jWork.ORG","1.2.0","May 4, 2013","Microsoft Windows, Linux, Mac OS X","No","Proprietary","No","Java","No"
