"","","Lower house","Lower house","Lower house","Lower house","Upper house","Upper house","Upper house","Upper house","Upper house","Total"
"State","Legislative branch constitutional name","Name","Size","Term length in years","Term limit","Name","Size","Term length in years","Term limit","Filibuster","Total"
"California","California State Legislature","California State Assembly","80","2","Not more than 12 years in either house, combined","California State Senate","40","4","Not more than 12 years in either house, combined","No","120"
"Texas","Texas Legislature","Texas House of Representatives","150","2","None","Texas Senate","31","2 or 4","None","Yes","181"
"New York","New York State Assembly and New York State Senate","New York State Assembly","150","2","None","New York State Senate","63","2","None","No","213"
"Florida","Florida Legislature","Florida House of Representatives","120","2","Four terms","Florida Senate","40","2 or 4","Two terms","Yes","160"
"Illinois","Illinois General Assembly","Illinois House of Representatives","118","2","None","Illinois Senate","59","2 or 4","None","No","177"
"Pennsylvania","Pennsylvania General Assembly","Pennsylvania House of Representatives","203","2","None","Pennsylvania State Senate","50","4","None","No","253"
"Ohio","Ohio General Assembly","Ohio House of Representatives","99","2","Four terms","Ohio Senate","33","4","Two terms","No","132"
"Michigan","Michigan Legislature","Michigan House of Representatives","110","2","Three terms","Michigan Senate","38","4","Two terms","No","148"
"Georgia","Georgia General Assembly","Georgia House of Representatives","180","2","None","Georgia Senate","56","2","None","No","236"
"North Carolina","North Carolina General Assembly","North Carolina House of Representatives","120","2","None","North Carolina Senate","50","2","None","No","170"
"New Jersey","New Jersey Legislature","New Jersey General Assembly","80","2","None","New Jersey Senate","40","2 or 4","None","No","120"
"Virginia","Virginia General Assembly","Virginia House of Delegates","100","2","None","Senate of Virginia","40","4","None","No","140"
"Washington","Washington State Legislature","Washington House of Representatives","98","2","None","Washington State Senate","49","4","None","No","147"
"Arizona","Arizona Legislature","Arizona House of Representatives","60","2","Four consecutive terms","Arizona Senate","30","2","Four consecutive terms","No","90"
"Massachusetts","General Court of Massachusetts","Massachusetts House of Representatives","160","2","None","Massachusetts Senate","40","2","None","No","200"
"Indiana","Indiana General Assembly","Indiana House of Representatives","100","2","None","Indiana Senate","50","4","None","No","150"
"Tennessee","Tennessee General Assembly","Tennessee House of Representatives","99","2","None","Tennessee Senate","33","4","None","No","132"
"Missouri","Missouri General Assembly","Missouri House of Representatives","163","2","Four terms","Missouri Senate","34","4","Eight years (Two terms)","No","197"
"Maryland","Maryland General Assembly","Maryland House of Delegates","141","4","None","Maryland State Senate","47","4","None","No","188"
"Wisconsin","Wisconsin Legislature","Wisconsin State Assembly","99","2","None","Wisconsin Senate","33","4","None","No","132"
"Minnesota","Minnesota Legislature","Minnesota House of Representatives","134","2","None","Minnesota Senate","67","4","None","No","201"
"Colorado","Colorado General Assembly","Colorado House of Representatives","65","2","Four consecutive terms","Colorado Senate","35","4","Two consecutive terms","No","100"
"Alabama","Alabama Legislature","Alabama House of Representatives","105","4","None","Alabama Senate","35","4","None","Yes","140"
"South Carolina","South Carolina General Assembly","South Carolina House of Representatives","124","2","None","South Carolina Senate","46","4","None","Yes","170"
"Louisiana","Louisiana State Legislature","Louisiana House of Representatives","105","4","Three terms","Louisiana State Senate","39","4","Three terms","No","144"
"Kentucky","Kentucky General Assembly","Kentucky House of Representatives","100","2","None","Kentucky Senate","38","4","None","No","138"
"Oregon","Oregon Legislative Assembly","Oregon House of Representatives","60","2","None","Oregon State Senate","30","4","None","No","90"
"Oklahoma","Oklahoma Legislature","Oklahoma House of Representatives","101","2","Not more than 12 years in either house, combined","Oklahoma Senate","48","4","Not more than 12 years in either house, combined","No","149"
"Connecticut","Connecticut General Assembly","Connecticut House of Representatives","151","2","None","Connecticut Senate","36","2","None","Yes","187"
"Iowa","Iowa General Assembly","Iowa House of Representatives","100","2","None","Iowa Senate","50","4","None","No","150"
"Mississippi","Mississippi Legislature","Mississippi House of Representatives","122","4","None","Mississippi State Senate","52","4","None","No","174"
"Arkansas","Arkansas General Assembly","Arkansas House of Representatives","100","2","Three terms","Arkansas Senate","35","4","Two terms","Yes","135"
"Kansas","Kansas Legislature","Kansas House of Representatives","125","2","None","Kansas Senate","40","4","None","No","165"
"Utah","Utah State Legislature","Utah House of Representatives","75","2","None","Utah State Senate","29","4","None","Yes","104"
"Nevada","Nevada Legislature","Nevada Assembly","42","2","Six terms","Nevada Senate","21","4","Three terms","No","63"
"New Mexico","New Mexico Legislature","New Mexico House of Representatives","70","2","None","New Mexico Senate","42","4","None","No","112"
"West Virginia","West Virginia Legislature","West Virginia House of Delegates","100","2","None","West Virginia Senate","34","4","None","No","134"
"Nebraska","Nebraska Legislature","N/A","N/A","N/A","N/A","Unicameral and nonpartisan","49","4","Two terms","Yes","49"
"Idaho","Idaho Legislature","Idaho House of Representatives","70","2","None","Idaho Senate","35","2","None","Yes","105"
"Maine","Maine Legislature","Maine House of Representatives","153","2","Four terms","Maine Senate","35","2","Four terms","Yes","188"
"New Hampshire","New Hampshire General Court","New Hampshire House of Representatives","400","2","None","New Hampshire Senate","24","2","None","No","424"
"Hawaii","Hawaii State Legislature","Hawaii House of Representatives","51","2","None","Hawaii Senate","25","4","None","Yes","76"
"Rhode Island","Rhode Island General Assembly","Rhode Island House of Representatives","75","2","None","Rhode Island Senate","38","2","None","No","113"
"Montana","Montana State Legislature","Montana House of Representatives","100","2","Four terms","Montana Senate","50","4","Two terms","No","150"
"Delaware","Delaware General Assembly","Delaware House of Representatives","41","2","None","Delaware Senate","21","2 or 4","None","No","62"
"South Dakota","South Dakota State Legislature","South Dakota House of Representatives","70","2","Four terms","South Dakota Senate","35","4","Two terms","No","105"
"Alaska","Alaska Legislature","Alaska House of Representatives","40","2","None","Alaska Senate","20","4","None","Yes","60"
"North Dakota","North Dakota Legislative Assembly","North Dakota House of Representatives","94","4","None","North Dakota Senate","47","4","None","No","141"
"Vermont","Vermont General Assembly","Vermont House of Representatives","150","2","None","Vermont Senate","30","2","None","Yes","180"
"Wyoming","Wyoming Legislature","Wyoming House of Representatives","60","2","None","Wyoming Senate","30","4","None","No","90"
"U.S. Virgin Islands","Legislature of the Virgin Islands","N/A","N/A","N/A","N/A","Unicameral","15","2","None","No","15"
"District of Columbia","Council of the District of Columbia","Unicameral","13","4","None","N/A","N/A","N/A","N/A","N/A","13"
"Puerto Rico","Legislative Assembly of Puerto Rico","House of Representatives of Puerto Rico","51","4","None","Senate of Puerto Rico","27","4","None","No","78"
"Guam","Legislature of Guam","N/A","N/A","N/A","N/A","Unicameral","15","2","None","No","15"
"Northern Mariana Islands","Northern Mariana Islands Commonwealth Legislature","Northern Mariana Islands House of Representatives","20","2","None","Northern Mariana Islands Senate","9","4","None","No","29"
"American Samoa","American Samoa Fono","American Samoa House of Representatives","21","2","None","American Samoa Senate","18","4","None","No","39"
