"Product","total # of formats",".cbr/.cbz",".chm",".djvu",".epub",".fb2",".html",".mobi",".pdb",".pdf",".rtf",".txt"
"Apabi Reader","3","No","No","No","Yes","No","No","No","No","Yes","No","Yes"
"Blio","2","No","No","No","Yes","No","No","No","No","Yes","No","No"
"Bluefire Reader","2","No","No","No","Yes","No","No","No","No","Yes","No","No"
"DL Reader","2","No","No","No","Yes","No","No","No","No","Yes","No","No"
"eBookMobi","10+","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Ebook Reader","2","No","No","No","Yes","No","No","No","No","Yes","No","No"
"i2Reader","6+","No","No","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"iBooks","2","No","No","No","Yes","No","No","No","No","Yes","No","No"
"Kindle","2","No","No","No","No","No","No","Yes","No","Yes","No","No"
"Kobo Reading App","2","No","No","No","Yes","No","No","No","No","Yes","No","No"
"KyBook","8","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes"
"Marvin","1","No","No","No","Yes","No","No","No","No","No","No","No"
"MegaReader","1","No","No","No","Yes","No","No","No","No","No","No","No"
"PocketBook reader","8+","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes"
"ShuBook","5+","No","No","No","Yes","No","No","No","Yes","Yes","Yes","Yes"
"Stanza","5+","Yes","No","Yes","Yes","No","No","No","Yes","Yes","No","No"
"uBooks","4","No","No","No","Yes","Yes","Yes","No","No","No","No","Yes"
"iBouquiniste","5","No","No","Yes","Yes","Yes","No","Yes","No","Yes","No","No"
"","","","","","","","","","","","",""
