"","Person who likes","Thing that is liked","Form"
"Portuguese","Subject","Object of preposition de","(Eu) gosto de ouvir música."
"Spanish","Indirect object","Subject","Me gusta escuchar música."
"English","Subject","Direct object","I like to listen to music."
