"Software name","Out-of-the-box shopping cart","Non-free database backend support"
"Apache OFBiz","Yes","MS SQL, Oracle"
"Avactis","Yes","MySQL, MySQLi"
"WooCommerce","Yes","MySQL, MySQLi"
"Jigoshop","Yes","MySQL, MySQLi"
"PrestaShop","Yes","MySQL, MySQLi"
"Magento","Yes","MySQL, MySQLi"
"LiteCart","Yes","MySQL, MySQLi"
"Spree Commerce","Yes","MySQL, MySQLi"
"pimcore","No","MySQL, MySQLi"
"Zen Cart","Yes","MySQL, MySQLi"
