"Name","Computer architecture supported","File system supported","Kernel type","Source lines of code","GUI default is on","Package management","Update management","Native API","Non-native APIs supported through subsystems"
"AIX","POWER, PowerPC-AS, PowerPC, Power Architecture","JFS, JFS2, ISO 9660, UDF, NFS, SMBFS, GPFS","Monolithic","","No","installp, RPM","Service Update Management Assistant (SUMA)","SysV/POSIX",""
"AmigaOS Classic","68k, PowerPC","Proprietary (OFS, FFS, SFS, PFS), FAT, ISO 9660, UDF, many others via 3rd party drivers, such as SMBFS, etc.","Microkernel","","Yes","Installer (almost not needed)","","Proprietary","BSD subset (available through 3rd party ixemul.library)"
"AmigaOS 4","PowerPC","Proprietary (OFS, FFS, SFS, PFS), JXFS, FAT, ISO 9660, UDF, many others via 3rd party drivers, such as SMBFS, etc.","Microkernel","","Yes","Installer (almost not needed)","AmiUpdate (almost not needed)","Proprietary","BSD subset (available through 3rd party ixemul.library)"
"eComStation","x86","HPFS (default), FAT, JFS, UDF, FAT32, NTFS (read only)","Hybrid","","Yes","WarpIN, Feature Install, others","Maintenance Tool","Proprietary, DOS API, Win16","POSIX, Java, others"
"FreeBSD","x86, x86-64, PC98, SPARC, others","UFS2, ext2, ext3, FAT, ISO 9660, UDF, NFS, ReiserFS (read only), XFS (experimental), ZFS, others","Monolithic with modules","6.25 million","No","Ports collection, packages","by source, network binary update (freebsdupdate)","BSD/POSIX","Mono, Java, Win16, Win32, Linux"
"GhostBSD","x86, x86-64","UFS2, ext2, ext3, FAT, ISO 9660, UDF, NFS, ReiserFS (read only), XFS (experimental), ZFS, others","Monolithic with modules","","Yes","Ports collection, packages","by source, network binary update (freebsdupdate)","BSD/POSIX","Mono, Java, Win16, Win32, Linux"
"Haiku","x86, 68k","BFS (default), FAT, ISO 9660, ext3, NTFS","Hybrid","~5.2 million","Yes","Ports collection (haikuport)","pkgman, HaikuDepot","POSIX, BeOS API","Java, Qt"
"HP-UX","PA-RISC, IA-64","VxFS, HFS, CDFS, EVFS, NFS, CIFS","Monolithic with modules","","No","SD, swinstall","swa (HP-UX Software Assistant)","SysV/POSIX",""
"Inferno","x86, PowerPC, SPARC, Alpha, MIPS, others","Styx/9P2000, kfs, FAT, ISO 9660","Monolithic with modules, user space file systems","","Yes","?","?","Proprietary",""
"iOS","ARM","HFS+, FTP","Hybrid","~80 million","Yes","?","Software Update","Cocoa, BSD-POSIX","?"
"Linux","x86, x86-64, ARM, PowerPC, SPARC, others","ext2, ext3, ext4, btrfs, ReiserFS, FAT, ISO 9660, UDF, NFS, and others","Monolithic with modules","~15 million (kernel)
lines of code for userland libraries and applications vary depending on the distribution","See: Comparison of Linux distributions","See: Comparison of Linux distributions","See: Comparison of Linux distributions","Linux/POSIX","Mono, Java, Win16, Win32"
