"Client","Internet Explorer","Mozilla Firefox","Opera","Safari","Google Chrome","other"
"BookmarkSync","Yes","Yes","Yes","Yes (Mac Only)","No","SeaMonkey"
"Opera Link","No","No","Yes","No","No","Opera Mini, Opera Mobile"
"Firefox Sync","No","Yes","No","No","No","Firefox for MobileSeaMonkey"
"Xmarks","Yes","Yes","No, but there is a sync viewer in a menu","Yes (Mac Only)","Yes","No"
"","","","","","",""
