"Products","","","","Trident","Gecko","WebKit","Blink","Presto","KHTML","Prince XML","Amaya","Batik","Renesis"
"Products","SVG","1.1","Tiny (SVGT)","5.0","Partial","Partial","?","1.0","Partial","Partial","Partial","Mostly","Partial"
"P1","SVG","1.1","Basic (SVGB)","5.0","Mostly","","","","Partial","","","Mostly",""
"P2","SVG","1.1","Full","5.0","Mostly","","","","Partial","","","Mostly",""
"P3","SVG","1.2","Tiny","No","No","No","2.1","No","?","?","Partial","Partial",""
"P4","SVG","1.2","Full","No","No","No","No","No","","","","",""
"P5","sXBL","sXBL","sXBL","Yes","","","","","","","","",""
"P6","XBL 2.0","XBL 2.0","XBL 2.0","No","","","","","","","","",""
