"IDE","Developer","Latest stable release","Platform","License"
"Eclipse EPIC","EPIC Project Team","0.6.44 / April 18, 2012","Windows, Linux, Mac OS X, FreeBSD, JVM, Solaris","CPL"
"Geany","Team","0.21 / October 2, 2011","Windows, Linux, Mac OS X, FreeBSD, IBM AIX, OpenBSD, Solaris, other Unix","GPL"
"KDevelop","KDevelop Team","4.7.1 (February 6, 2015; 4 months ago)","Cross-platform","GPL"
"Komodo IDE / Edit","ActiveState","8.5.3 / November 19, 2013","Cross-platform","Proprietary"
"Padre","Padre Team","1.0 / November 8, 2013","Cross-platform","Perl"
