"","Trident","Gecko","WebKit","Blink","Presto","KSVG","Amaya"
"img","5.0","2.0","Yes","?","2.1","No","5.1"
"embed","5.0","1.8","Yes","Partial","Partial","5.2",""
"object","5.0","1.8","Yes","5.1","Partial","",""
"CSS background-image","5.0","2.0","No","2.1","No","?",""
"CSS list-style-image","5.0","2.0","Partial","2.1","?","",""
"as Favicon","No","Partial","No","2.1.1","?","",""
"in data URIs","5.0","Yes","Yes","No","?","?",""
