"Server name","Lic.","RFC 2616 HTTP 1.1 spec.","RFC 2617 HTTP access auth.","RFC 2518 Web DAV spec.","RFC 3253 Web DAV ext.","RFC 3744 Web DAV ACL","RFC 4324 iCal CAP spec.","RFC 4709 Web DAV mount","RFC 4791 Cal DAV spec.","RFC 4918 Web DAV ext.","RFC 5397 Web DAV principal","RFC 5545 rev. iCal spec.","RFC 5546 iCal iTIP spec.","RFC 5689 WebDAV ext. MKCOL","RFC 6352 Card DAV vCard","RFC 6638 CalDAV Scheduling"
"Calendar and Contacts Server","Apache","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Baïkal","GPL","Yes","Yes","Yes","No","Some","No","No","Yes","Yes","Yes","Yes","?","Yes","Yes","?"
"Bedework","Apache","?","?","?","?","?","?","?","Yes","?","?","Yes","Yes","?","Yes","Yes"
"Calypso","GPL","Yes","Yes","Yes","No","?","No","No","Yes","Yes","No","Yes","Yes","?","?","?"
"DAViCal","GPL","Yes","?","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"DavMail","GPL","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Daylite Server","Proprietary","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Yes","Yes","?"
"Group-Office","AGPL/Commercial","Yes","Yes","Yes","?","Some","?","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","?"
"IT Hit Active Directory CardDAV Server","Commercial","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Yes","No","No","No","Yes","No"
"IT Hit WebDAV Server Engine for .Net","Commercial","Yes","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes","?","Yes","Yes","Yes","?"
"Oracle","Commercial","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ownCloud","AGPLv3","?","?","?","?","?","?","?","Yes","?","?","?","?","?","Yes","?"
"Radicale","GPL","Yes","Yes","Some","No","Some","No","No","Some","Some","Some","No","Some","No","Some","No"
"SabreDAV","BSD","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Tryton","GPL","Yes","Yes","Yes","?","?","?","?","Yes","?","Yes","Yes","?","?","Yes","?"
"Zimbra","ZPL","Yes","Yes","Yes","?","?","?","?","Yes","?","Yes","?","?","?","Yes","?"
"Fennel","GPLv3","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Zentyal","Gpl","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
