"IDE","Developer","License","Windows","Linux","Mac OS X","Other platforms","Debugger","GUI builder"
"Dolphin Smalltalk","Object Arts","Proprietary","Yes","No","No","","Yes","Yes"
"Pharo","INRIA","MIT License","Yes","Yes","Yes","various","Yes","Yes"
"Squeak","squeak.org","MIT License","Yes","Yes","Yes","various","Yes","Yes"
"VisualWorks","Cincom","Proprietary","Yes","Yes","Yes","various","Yes","Yes"
