"GIS software","Freeware","Libre Software / Open source","Windows","Mac OS X","Linux","BSD","Unix","Web","Other"
"ArcGIS","Viewer(s)","No","Yes","No","Yes","No","Yes","Yes","Google Earth Plugin,KML, WMS"
"Autodesk","Viewer(s)","No","Yes","No","Yes","No","No","Yes","No"
"Cadcorp","Viewer(s)","No","Yes","No","No","No","No","Yes","No"
"CAPAWARE","Yes","Yes","Yes","No","No","No","No","No","No"
"Chameleon","Yes","Yes","Yes","Yes","Yes","Yes","Yes","AMP","No"
"Deegree","Yes","Yes","Java","Java","Java","Java","Java","Yes","No"
"Erdas Imagine","Viewers & Plug-ins","No","Yes","No","No","No","No","Yes","No"
"GeoBase","Trial","No","Yes","No","Yes","Yes","No","Yes","Traffic,WMS,ADAS,Routing"
"Geomajas","Yes","Yes","Java","Java","Java","Java","Java","Yes","No"
"GeoNetwork","Yes","Yes","Java","Java","Java","Java","Java","Yes","No"
"GeoServer","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Java","No"
"GeoTools","Yes","Yes","Java","Java","Java","Java","Java","No","No"
"GRASS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","via pyWPS","No"
"gvSIG","Yes","Yes","Yes","Yes","Yes","Java","Java","No","No"
"IDRISI","No","No","Yes","No","No","No","No","No","No"
"ILOG JViews Maps","Viewer(s)","No","Java","Java","Java","Java","Java","Java & DHTML/Ajax","No"
"ITC ILWIS","Yes","Yes","Yes","No","No","No","No","No","No"
"Intergraph","Viewer(s)","No","Yes","No","No","No","CLIX","Yes","KML"
"(Vivid) Open JUMP GIS","Yes","Yes","Java","Java","Java","Java","Java","No","No"
"Kosmo Saig","Yes","Yes","Java","Java","Java","Java","Java","No","No"
"LandSerf","Yes","No","Java","Java","Java","Java","Java","No","No"
"MapDotNet","No","No","Yes","No","No","No","No","Yes",""
"Manifold System","No","No","Yes","No","No","No","No","Yes","No"
"Microsoft MapPoint","Discontinued","No","Yes","No","No","No","No","Yes","No"
"Pitney Bowes MapInfo","Viewer(s)","No","Yes","No","No","No","Yes","Yes","No"
"UMN MapServer","Yes","Yes","Yes","Yes","Yes","Yes","Yes","AMP","No"
"Caliper Maptitude","No","No","Yes","No","No","No","No","Yes","No"
"MapWindow GIS","Yes","Yes","Yes","No","No","No","No","No","No"
"ThinkGeo Map Suite","Free Trial","No","Yes","No","No","No","No","Yes","Geocoding and Routing plugins also available."
"Oracle Spatial","No","No","Yes","Yes","Yes","No","Yes","Yes","No"
"Ortelius Mapdiva","Free Trial","No","No","Yes","No","No","No","No","Vector-based map illustration drawing tool for Mac OS X"
"Panorama","No","No","""GIS Map 2005""","No","""GIS Panorama""","No","No","No","No"
"PostGIS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"QGIS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes (Open layer Plugin,KML, WMS)"
"RegioGraph","No","No","Yes","No","No","No","No","No","No"
"RemoteView","No","No","Yes","No","No","No","No","No","No"
"Smallworld","No","No","Yes","No","Yes","?","Yes","Yes","No"
"Spatial Manager Desktop","Free Trial","No","Yes","No","No","No","No","No","Tasks run also in the command window"
"Spatial Manager for AutoCAD","Free Trial","No","Yes","No","No","No","No","No","No"
"SpatialFX | ObjectFX","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Java-based mapping and imagery toolkit"
"SpatialRules | ObjectFX","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Java-based rules engine for spatial and temporal data."
"SPRING","Yes","Yes","Yes","No","Yes","No","Solaris","No","No"
"Caliper TransCAD","No","No","Yes","No","No","No","No","Yes","No"
"TerraLib TerraView","Yes","Yes","Yes","No","Yes","No","No","No","No"
"MicroImages TNTmips","Viewer(s)","No","Yes","Yes","Yes","No","Yes","No","No"
"Caliper TransModeler","No","No","Yes","No","No","No","No","No","No"
"uDIG","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Zulu","Viewer(s)","No","Yes","No","No","No","No","No","No"
"AvisMap GIS Engine","Viewer(s)","No","Yes","No","No","No","No","DHTML","No"
"GIS software","Free (Gratis)","Open source","Windows","Mac OS X","Linux","BSD","Unix","Web","Other"
