"Maker","Model","Intro year","End year","Screen size (inch)","Self-lit","Screen type","Weight","Screen pixels","Touch screen","Wireless network","Text-to-speech","Folders","Internal Storage","Micro
SDHC","Web browser","Library DRM compatible","USB peripherals",""
"Aluratek","Libre Ebook Reader Pro","2009","2014","5","No","ePaper","213 g (7.5 oz)","600 × 800","No","No","No","Yes","90 MB","up to 
32 GB","No","Yes","No",""
"Amazon.com","Kindle Paperwhite 3G","2012","2013","6","Yes","eInk Pearl","221 g (7.8 oz)","758 × 1024","2-Point","Wi-Fi,
CDMA, GSM","No","2 GB
(1.25 GB)","No","Yes","US only","No","",""
"Amazon.com","Kindle Paperwhite Wi-Fi","2012","2013","6","Yes","eInk Pearl","213 g (7.5 oz)","758 × 1024","2-Point","Wi-Fi","No","2 GB
(1.25 GB)","No","Yes","US only","No","",""
"Amazon.com","Kindle  (4th generation)","2011","2012","6","No","eInk Pearl","170 g (6.0 oz)","600 × 800","No","Wi-Fi","No","2 GB
(1.25 GB)","No","Yes","US only","No","",""
"","Kindle Touch 3G","2011","2012","6","No","eInk Pearl","220 g (7.8 oz)","600 × 800","Yes","Wi-Fi,
CDMA, GSM","Yes","Yes","4 GB
(3 GB)","No","Yes","US only","No",""
"","Kindle Touch","2011","2012","6","No","eInk Pearl","213 g (7.5 oz)","600 × 800","Yes","Wi-Fi","Yes","Yes","4 GB
(3 GB)","No","Yes","US only","No",""
"Amazo","Kindle 3 Wi-Fi 3G (Now Kindle Keyboard 3G)","2010","2011","6","No","eInk Pearl","247 g (8.7 oz)","600 × 800","No","Wi-Fi,
CDMA, GSM","Yes","Yes","4 GB
(3 GB)","No","Yes","US only","Yes",""
"","Kindle 3 Wi-Fi (Now Kindle Keyboard)","2010","2011","6","No","eInk Pearl","241 g (8.5 oz)","600 × 800","No","Wi-Fi","Yes","Yes","4 GB
(3 GB)","No","Yes","US only","Yes",""
"","Kindle DX  1st gen white","2009","2011","9.7","No","eInk","540 g (19 oz)","824 × 1200","No","CDMA (USA), GSM","Yes","Yes","4 GB
(3.3 GB)","No","limited","US only","No",""
"","Kindle DX  4th gen graphite","2010","2012","9.7","No","eInk Pearl","535 g (18.9 oz)","824 × 1200","No","HSDPA/GSM","Yes","Yes","4 GB
(3.3 GB)","No","limited","US only","No",""
