"Model","Released","Code name","Fab (nm)","Core Clock (MHz)","Config core","Fillrate","Fillrate","Shared Memory","Shared Memory","Shared Memory","GFLOPS","Combined TDP (W)","Combined TDP (W)","GFLOPS/W","APU"
"Model","Released","Code name","Fab (nm)","Core Clock (MHz)","Config core","Pixel (GP/s)","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","GFLOPS","Max.","","GFLOPS/W","APU"
"Radeon HD 7480D","June 1, 2012","Scrapper","32","723","128:8:4","2.87","5.76","25.6","DDR3-1600","128","185","Unknown","65","Unknown","A4-4000 A4-5300"
"Radeon HD 7540D","June 1, 2012","Devastator","32","760","192:12:4","3.02","9.12","29.9","DDR3-1866","128","292","Unknown","65","Unknown","A6-5400K"
"Radeon HD 7560D","June 1, 2012","Devastator","32","760","256:16:8","6.08","12.16","29.9","DDR3-1866","128","389","Unknown","65 - 100","Unknown","A8-5500 A8-5600K"
"Radeon HD 7660D","June 1, 2012","Devastator","32","760
800","384:24:8","6.08
6.4","18.24
19.2","29.9","DDR3-1866","128","584
614","Unknown","65 - 100","Unknown","A10-5700 (760 MHz) A10-5800K (800 MHz)"
