"","0",".25",".5",".75","1.0"
"0"," (255, 128, 0) "," (192, 96, 0) "," (128, 64, 0) "," (64, 32, 0) "," (0, 0, 0) "
".25"," (255, 160, 64) "," (192, 144, 96) "," (128, 80, 32) "," (64, 40, 16) "," (0, 0, 0) "
".5"," (255, 192, 128) "," (192, 144, 96) "," (128, 96, 64) "," (64, 48, 32) "," (0, 0, 0) "
".75"," (255, 240, 192) "," (192, 168, 144) "," (128, 112, 96) "," (64, 56, 48) "," (0, 0, 0) "
"1.0"," (255, 255, 255) "," (192, 192, 192) "," (128, 128, 128) "," (64, 64, 64) "," (0, 0, 0) "
