"Products","Card","Varieties","Max. storage capacity (nom. in GiB)","Theoretical max. capacity (nom. in GiB)","Max. Read Speed (MB/s)","Max. Write Speed (MB/s)","Read/write cycles","Low-level access","Operating voltage (V)","Controller chip","# of pins"
"P1","CompactFlash","I","512","128 PiB
(134217728 GiB)","167","167","","NOR/NAND","3.3 and 5","Yes","50"
"P2","CompactFlash","II","12","128 PiB
(134217728 GiB)","167","167","","NOR/NAND","3.3 and 5","","50"
"P3","SmartMedia","","128 MiB
(0.125 GiB)","","2","","1,000,000","NAND","3.3 or 5","No","22"
"P4","MMC","MMC","8","128","2","2","1,000,000","NAND","3.3","Yes","7"
"P5","MMC","RS-MMC","2","128","2","2","1,000,000","NAND","3.3","7",""
"P6","MMC","MMCmobile","2","128","15","8","1,000,000","NAND","1.8 and 3.3","13",""
"P7","MMC","MMCplus","4","128","52","52","1,000,000","NAND","3.3","13",""
"P8","MMC","MMCmicro","2","128","","","1,000,000","NAND","1.8 and 3.3","13",""
"P9","MMC","eMMC","","2 TiB
(2048 GiB)","104","104","","NAND","1.8 and 3.3","Yes","13"
"P10","Secure Digital","SD (SDSC)","","4","25","25","","NAND","3.3","Yes","9"
"P11","Secure Digital","miniSD","8","4","25","25","","NAND","3.3","11",""
"P12","Secure Digital","microSD","4","4","25","25","","NAND","3.3","8",""
"P13","Secure Digital","SDHC","32","2 TiB
(2048 GiB)","104 (UHS-I)","104 (UHS-I)","","NAND","1.8 and 3.3","Yes","9"
"P14","Secure Digital","miniSDHC","4","2 TiB
(2048 GiB)","104 (UHS-I)","104 (UHS-I)","","NAND","1.8 and 3.3","11",""
"P15","Secure Digital","microSDHC","32","2 TiB
(2048 GiB)","104 (UHS-I)","104 (UHS-I)","","NAND","1.8 and 3.3","8",""
"P16","Secure Digital","SDXC","512","2 TiB
(2048 GiB)","104 (UHS-I)","104","","NAND","2.7 - 3.6","Yes","9"
"P17","Secure Digital","microSDXC","200","2 TiB
(2048 GiB)","104 (UHS-I)","104 (UHS-I)","","NAND","2.7 - 3.6","8",""
"P18","Memory Stick","Standard","128 MiB
(0.125 GiB)","128 MiB
(0.125 GiB)","2.5","1.8","","NAND","3.3","Yes","10"
"P19","Memory Stick","PRO","4","2 TiB
(2048 GiB)","20","20","","NAND","3.3","","10"
"P20","Memory Stick","PRO Duo","32","2 TiB
(2048 GiB)","20","20","","NAND","3.3","","10"
"P21","Memory Stick","PRO-HG Duo","32","2 TiB
(2048 GiB)","30 (actual;
 theoretical: 60)","30 (actual; theoretical: 60)","","NAND","3.3","","10"
"P22","Memory Stick","Micro (M2)","16","32","20","20","","NAND","1.8 and 3.3","","10"
"P23","Memory Stick","xC","","2 TiB
(2048 GiB)","60","60","","NAND","3.3","","10"
"P24","xD","","512 MiB
(0.5 GiB)","512 MiB
(0.5 GiB)","5","3","","","3.3","No","18"
"P25","xD","Type M","2","8","4","2.5","","","3.3","","18"
"P26","xD","Type H","2","8","5","4","","","3.3","","18"
"P27","xD","Type M+","2","8","6","3.75","","","3.3","","18"
"P28","XQD","","64","2+ TiB
(2+ GiB)","168","168","","","5","",""
"P29","USB","Full speed (USB 1)","1024
(1 TiB)","No hardware-limit","1","1","","","5","Yes","4"
"P30","USB","High speed (USB 2.0)","1024
(1 TiB)","No hardware-limit","40","40","","","5","","4"
"P31","USB","Super speed (USB 3.0)","1024
(1 TiB)","No hardware-limit","240","160","","","5","","4"
