"Internet media type","Trident","Tasman","Gecko","WebKit","KHTML","Presto","Prince XML"
"application/atom+xml","?","?","?","?","?","8.00 beta 2","?"
"application/mathml+xml","No","No","2.0","No","No","9.50 beta 2","?"
"application/rss+xml","?","?","?","?","?","7.50 beta 1","?"
"application/xhtml+xml","XHTML 5.0","Prompt for download","XHTML","XHTML
125","HTML","XHTML
1.0","?"
"application/xml","XHTML 5.0","Crash","XHTML","XHTML
125","XML","XHTML
1.0","?"
"application/xslt+xml","?","?","?","?","?","9.00 beta 1","?"
"image/svg+xml","?","?","1.0","?","?","9.50","?"
"text/xml","XHTML 5.0","Crash","XHTML","XHTML
125","XML","XHTML
1.0","?"
"text/html","HTML","HTML","HTML","HTML","HTML","HTML","?"
