"Model","Launch","Code name","Fab (nm)","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Config core","Fillrate","Fillrate","Fillrate","Fillrate","Memory","Memory","Memory"
"Model","Launch","Code name","Fab (nm)","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Config core","MOperations/s","MPixels/s","MTexels/s","MVertices/s","Bandwidth (GB/s)","Bus type","Bus width (bit)"
"Radeon X300","June 21, 2004","RV370 (hari)","110","64, 128","325","400","4:2:4:4","1300","1300","1300","162.5","6.4","DDR","128"
"Radeon X300 LE","June 21, 2004","RV370 (hari)","110","64, 128","325","400","4:2:4:4","1300","1300","1300","162.5","6.4","DDR","128"
"Radeon X300 SE","June 21, 2004","RV370 (hari)","110","64, 128","325","400","4:2:4:4","1300","1300","1300","162.5","3.2","DDR","64"
"Radeon X300 SE HyperMemory","April 4, 2005","RV370 (hari)","110","32, 64, 128 onboard + up to 128 system","325","600","4:2:4:4","1300","1300","1300","162.5","3.2","DDR","64"
"Radeon X550","June 21, 2005","RV370 (hari)","110","128, 256","400","500","4:2:4:4","1600","1600","1600","200","8","DDR","128"
"Radeon X600 Pro","June 21, 2004","RV380 (vishnu)","130","128, 256","400","600","4:2:4:4","1600","1600","1600","200","9.6","DDR","128"
"Radeon X600 XT","June 21, 2004","RV380 (vishnu)","130","128, 256","500","740","4:2:4:4","2000","2000","2000","250","11.84","DDR","128"
"Radeon X1050","Dec. 7, 2006","RV370 (hari)","110","128, 256","400","666","4:2:4:4","1600","1600","1600","200","5.328","DDR2","64"
