"Server","Developed by","Software license","Last stable version","Latest release date"
"AOLserver","NaviSoft","Mozilla","4.5.2","2012-09-19"
"Apache HTTP Server","Apache Software Foundation","Apache","2.4.12","2015-01-29"
"Apache Tomcat","Apache Software Foundation","Apache","8.0.20","2015-02-20"
"Boa","Jon Nelson and Larry Doolittle","GNU GPL","0.94.13","2002-07-30"
"Caudium","The Caudium Group","GNU GPL","1.4.18","2012-02-24"
"Cherokee HTTP 
Server","Álvaro López Ortega","GNU GPL","1.2.103","2013-04-21"
"Hiawatha HTTP Server","Hugo Leisink","GNU GPLv2","9.12","2015-02-12"
"HFS","Rejetto","GNU GPL","2.2f","2009-02-17"
"IBM HTTP Server","IBM","Non-free proprietary","8.5.5","2013-06-14"
"Internet Information Services","Microsoft","Non-free proprietary","8.5","2013-09-09"
"Jetty","Eclipse Foundation","Apache","9.2.7","2015-01-16"
"Jexus","Bing Liu","Non-free proprietary","5.5.2","2014-04-27"
"lighttpd","Jan Kneschke (Incremental)","BSD variant","1.4.35","2014-03-12"
"LiteSpeed Web Server","LiteSpeed Technologies","Non-free proprietary","4.2.21","2015-01-15"
"Mongoose","Cesanta Software","GNU GPLv2 / proprietary license","5.6","2015-03-18"
"Monkey HTTP Server","Monkey Software","Apache","1.5.5","2014-10-18"
"NaviServer","Various","Mozilla 1.1","4.99.6","2014-06-29"
"NCSA HTTPd","Robert McCool","Non-free proprietary","1.5.2a","1996"
"Nginx","NGINX, Inc.","BSD variant","1.9.0","2015-04-28"
"OpenLink 
Virtuoso","OpenLink Software","GNU GPL and proprietary versions","7.1.0","2014-02-17"
"OpenLiteSpeed","LiteSpeed Technologies","GNU GPLv3 / proprietary license","1.3.7","2015-01-23"
"Oracle HTTP Server","Oracle Corporation","Non-free proprietary","12.1.2","2013"
"Oracle iPlanet Web Server","Oracle Corporation","BSD","7.0.19","2014-01-14"
"Oracle WebLogic Server","Oracle Corporation
(formerly BEA Systems)","Non-free proprietary","12cR3 (12.1.3)","2014-06-26"
"Resin Open Source","Caucho Technology","GNU GPLv3 / proprietary license","4.0.42","2015-01-20"
"Resin Professional","Caucho Technology","Non-free proprietary","4.0.39","2014-04-07"
"thttpd","Jef Poskanzer for ACME Laboratories","BSD variant","2.27","2014-10-03"
"TUX web server","Ingo Molnár","GNU GPL","3.2.6.18","2006-09-20"
"Wakanda Server","4D","GNU AGPLv3 / proprietary license","9.175128","2014-12-16"
"WEBrick","Ruby Community","Ruby","1.9.3 p286 (Ruby)","2012-10-12"
"Xitami","iMatix Corporation","BSD","5.0a0","2009-02-19"
"Yaws","Claes Wikström","BSD variant","1.99","2014-11-23"
"Zeus Web Server","Zeus Technology","Non-free proprietary","4.3r5","2010-01-13"
"Zope","Zope Corporation","Zope","2.13.21","2013-07-16"
"Server","Creator","Software license","Last stable version","Release date"
