"Language and Inputs","Language and Inputs","Language and Inputs","Language and Inputs","Language and Inputs","Language and Inputs","Language and Inputs","Language and Inputs","Language and Inputs","Language and Inputs"
"Feature","iOS","Android","Firefox OS","Windows Phone","BlackBerry 10","Mer","Tizen","Sailfish OS","Ubuntu Touch"
"Non-English languages support","Yes","Partial","Yes","Yes","Yes","Yes","Limited (Search is not diacritical mark-insensitive)","Yes","Yes"
"Underlining spell checker","Yes","2.3+","Yes","Yes","Yes","?","No","?","?"
"Built-in system-wide dictionary","5+","Built into keyboard application. Available on every device.","Yes","Yes","Yes","?","No","Yes","?"
"Autoexpanding text replacements","5+","Yes","No","Yes","Yes","?","?","?","?"
"Keyboard next word prediction","8+","No, 3rd party software","No","Yes","Yes","No","No","Yes","?"
"Optical character recognition input method","8+: Only for inputting credit card details","No","No","No","No","No","No","No","No"
"Third party input method","8+","Yes","1.2+","No","No, only for Android apps through sideload of Android keyboard","Yes","?","?","?"
"Gesture text input","8+: 3rd party software like Swype","4+","No","8.1+","Yes","?","?","No","No"
"Emoji support","Yes","4.4+","No","Yes","10.2+","?","?","?","Yes"
