"IDE","Developer","Latest stable release","Windows","Linux","Mac OS X","Other platforms","License"
"Microsoft Visual Studio","Microsoft","11.0.60610.0  / June 26, 2013","Yes","No","No","","Proprietary 
Community Edition: Freeware"
"MonoDevelop","Xamarin and the Mono community","5.0.1.3 / June 4, 2014","Yes","Yes","Yes","FreeBSD, OpenBSD, Solaris","LGPL"
"SharpDevelop","IC#Code Team","5.0 / October 28, 2014","Yes","No","No","","LGPL"
