"Reference types","Java","C#"
"Garbage collection","Yes","Yes"
"Weak reference","Yes","Yes"
"Reference queue (interaction with garbage collection)","Yes","Yes"
"Soft and Phantom references","Yes","No"
"Proxy support","Yes; proxy generation","Yes; object contexts"
