"Program","Operating systems","License","Costs","Protocols","Codecs","Encryption","Max conference peers","Other capabilities","Latest release"
"Avaya Application Server 5300 Soft Client","Windows","Proprietary","?","SIP, RTP,","Unknown","TLS, SRTP","Unknown","","2.0 (2010)"
"AudioCodes MobilityPLUS","Windows, Android, iOS","Proprietary","?","SIP, RTP, XMPP, STUN, ICE","G.722 wideband, G.711, G.711, iLBC, G.729a, SILK, GSM, VP8, H.264, Opus","TLS, SRTP","Unknown","Voice, video, IM, Group chat, content sharing, SMS and MMS over IP services, native and social network contacts integration, incoming call/IM push notifications.","(2014)"
"Blink","GNU/Linux, Mac OS, Windows","Mixed (free software versions under GNU GPLv3 + shareware versions under gplv3 with exception of including proprietary code)","Windows and Linux are free, OSX version is available for a fee in Mac App Store, source code is freely available","ICE, SIP, MSRP, RFB (VNC), XCAP","Opus, speex, G.722, GSM, iLBC, PCMU, PCMA","TLS, SRTP, ZRTP for all versions, OTR/SMP for OSX version only","Unlimited","IM, File Transfer, Desktop Sharing, Multi-party conference, Wideband","Blink Qt"
"Cisco IP Communicator","Windows, Android","Proprietary","Free (for Cisco SMB Partners only)","SCCP (Skinny), SIP, TFTP","G.722 wideband, G.711, G.711, iLBC, G.729a, G.729","SRTP","Unknown","Call Recording, Silent Monitoring, Multiple lines and directory numbers, Configurable speed dial, Calling name and number display, Call Waiting, Call Forward, Call Transfer, Three-Way Calling (conference), Call Park, Call Pickup, Redial, Hold, Barge, Callback, Extension Mobility, Message waiting indicator, iDivert, Meet Me conferencing, Group Pickup, Do Not Disturb","7.0.6 (Jan 2011)"
"Ekiga","Linux, Windows, OpenSolaris","GPL","Free","SIP, H.323, STUN, Zeroconf, XMPP, RTP","H.263, H.264/MPEG-4 AVC, Theora, iLBC, Speex, SILK, GSM, ...","No","Unknown","Video, IM, LDAP, Call Forwarding, Call Transfer, Auto-answering, PC to phone, phone to PC, Multiple accounts, USP support, Message waiting indicator, SIMPLE-based presence etc.","4.0.1 (February 21, 2013; 2 years ago)"
"Empathy","Linux","GPL","Free","SIP, XMPP (Jingle), ICE (STUN/TURN), Zeroconf","Unknown","No","Unknown","IM, multi-user A/V,  collaborative applications","3.16 (March 25, 2015; 2 months ago)"
"Eyeball Chat","Windows","Proprietary","Free","SIP, STUN, ICE, XMPP","Unknown","Yes","5","IM, Conferencing, Voice, Video and SIMPLE based presence","Windows 3.2 (2009)"
"eyeBeam","Windows","Proprietary","?","SIP / SIMPLE","Unknown","TLS, SRTP","6 party audio; 3 party video","Voice and Video calling; IM; Import Microsoft Outlook Contacts; USB Support; Call Recording and Conferencing","1.5.20.1 (March 2010)"
"Google+ Hangouts","Linux, Windows, Mac OS X, Android, iOS","Proprietary (using libjingle)","Free","XMPP","H.264/SVC, H.264/AVC, H.263 and VP8","SRTP","10","Video, chat, screen sharing, with additional tools available as ""Hangout Apps"".","Google Chrome Web Store extension 
 2013.626.1614.1 (July 9, 2013; 22 months ago)"
"IBM Sametime","Linux, Mac OS X, Windows, mobile","Proprietary","?","SIP, SIMPLE, T.120","H.323","TLS","Unknown","IM, File transfer, Voice, Presence, Server stored contact list, HTTP tunneling, plugins, embedable in Lotus Notes","8.5.2 (08. May 2011)"
