"Client","IMSP","ACAP","RSS 0.91 Feeds","RSS 1.0 Feeds","RSS 2.0 Feeds","ATOM Feeds","iCalendar","MAPI/RPC","CalDAV","CardDAV"
"Alpine","?","?","?","?","?","?","?","?","?","?"
"Atmail","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes"
"Becky! Internet Mail","?","?","Yes","Yes","Yes","Yes","?","?","?","?"
"Citadel","?","?","?","?","?","?","?","?","?","?"
"Claws Mail","?","?","No","Yes","Yes","Yes","Yes","?","?","?"
"Cone","No","No","No","No","No","No","No","?","?","?"
"Courier","No","No","No","No","No","No","No","?","?","?"
"Elm","?","?","?","?","?","?","?","?","?","?"
"eM Client","No","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes"
"EmailTray","No","No","No","No","No","No","No","No","?","?"
"Eudora","No","Yes","No","No","No","No","No","?","?","?"
"Eureka Email","?","?","?","?","?","?","?","?","?","?"
"Evolution","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"Gnus","?","?","Yes","Yes","Yes","No","?","?","?","?"
"GroupWise","?","No","?","?","?","?","Yes","?","?","?"
"i.Scribe / InScribe","No","No","No","No","No","No","No","Yes","?","?"
"IBM Lotus Notes","No","No","Yes","Yes","Yes","Yes","Yes","?","?","?"
"KMail","?","?","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes"
"Libremail","No","No","No","No","No","No","No","?","No","No"
"Mail (OS X)","?","?","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes"
"Microsoft Entourage","?","?","?","?","?","?","Yes","?","?","?"
"Microsoft Office Outlook","?","?","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"Mozilla Mail & Newsgroups","?","?","?","?","?","?","?","?","?","?"
"Mozilla Thunderbird","No","No","Yes","Yes","Yes","Yes","Yes","Yes","?","?"
"Mulberry","Yes","Yes","No","No","No","No","Yes","?","Yes","?"
"Mutt","?","?","No","No","No","No","No","?","?","?"
"Netscape Messenger","?","?","?","?","?","?","?","?","?","?"
"Netscape Messenger 9","?","?","?","?","?","?","?","?","?","?"
"nmh / MH","?","?","?","?","?","?","?","?","?","?"
"Opera Mail","?","?","Yes","Yes","Yes","Yes","No","?","No","No"
"Outlook Express","?","?","No","No","No","No","No","?","No","No"
"Pegasus Mail","?","?","Yes","Yes","Yes","?","?","?","?","?"
"Pine","No","No","No","No","No","No","No","?","?","?"
"Pocomail","No","No","Yes","Yes","Yes","No","No","?","?","?"
"SeaMonkey Mail & Newsgroups","No","No","Yes","Yes","Yes","Yes","Yes","?","?","?"
"Spicebird","No","No","Yes","Yes","Yes","Yes","Yes","No","?","?"
"SquirrelMail","?","?","Yes","Yes","Yes","Yes","Yes","Yes","?","?"
"Sylpheed","No","No","No","No","No","No","No","No","?","?"
"The Bat!","No","No","Yes","Yes","Yes","Yes","No","Yes","?","?"
"Trojitá","No","No","No","No","No","No","No","No","?","?"
"Turnpike","?","?","?","?","?","?","?","?","?","?"
"Wanderlust","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Windows Live Mail","?","?","Yes","Yes","Yes","Yes","No","?","?","?"
"Windows Mail","?","?","?","?","?","?","?","?","?","?"
"YAM","No","No","No","No","No","No","No","?","?","?"
"Zimbra","?","?","Yes","Yes","Yes","Yes","Yes","?","?","?"
"Client","IMSP","ACAP","RSS 0.91 Feeds","RSS 1.0 Feeds","RSS 2.0 Feeds","ATOM Feeds","iCalendar","MAPI/RPC","CalDAV","CardDAV"
