"Format","Languages"
"string (string'Last - n + 1 .. string'Last)","Ada"
"Right(string,n)","VB"
"RIGHT$(string,n)","BASIC"
"right(string,n)","FreeBASIC, Ingres"
"strcpy(string2, string+n) (n must not be greater than the length of string)","C"
"string.Substring(string.Length()-n)","C#"
"string.substring(string.length()-n)","Java"
"string.slice(-n)","JavaScript"
"right(string,n «,padchar»)","REXX, Erlang"
"substr(string,-n)","Perl, PHP"
"string[-n:]","Cobra, Python"
"(string-take-right string n)","Scheme (SRFI 13)"
"string[-n..-1]","Ruby, Ya"
"string[$-n .. $]","D"
"String.sub string (String.length string - n) n","OCaml"
"string.sub(string, -n) 
 (string):sub(-n)","Lua"
"string last: n","Smalltalk (Squeak, Pharo)"
"StringTake[string, -n]","Mathematica"
"string (1:n)","COBOL"
