"Products","Client","HTML email","UTF-8 support","Image blocking","Junk filtering","Junk filtering","Phishing filtering","Thread view","Conversation view","PGP support","PGP support","S/MIME support","S/MIME support","S/MIME support","S/MIME support"
"Products","Client","HTML email","UTF-8 support","Image blocking","local","server- side","Phishing filtering","Thread view","Conversation view","OCSP","CRL","certificates on tokens, smartcards support","","",""
"P1","Alpine","Yes","Yes","Yes","?","?","?","Yes","?","Yes","?","Yes","?","?","?"
"P2","Atmail","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"P3","Becky! Internet Mail","Yes","Yes","Yes","No","No","No","Yes","No","Yes","?","Yes","?","?","?"
"P4","Citadel","Yes","Yes","No","Yes","?","?","No","?","?","?","?","?","?",""
"P5","Claws Mail","Read-only","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","?","Yes","Yes"
"P6","Cone","Yes","Yes","Yes","Yes","No","No","Yes","?","No","Yes","No","No","No","No"
"P7","Courier","Yes","No","No","Yes","Yes","?","No","?","?","?","?","?","?","?"
"P8","Elm","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"P9","eM Client","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","Yes","No","Yes","Yes"
"P10","EmailTray","Yes","Yes","Yes","No","Yes","?","No","No","No","No","No","No","No","No"
"P11","Eudora","Yes","No","Yes","Pro only","Pro only","?","Yes","No","Yes","Yes","Yes","?","?","?"
"P12","Eureka Email","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"P13","Evolution","Yes","Yes","Yes","Yes","?","No","Yes","Yes","Yes","Yes","Yes","?","?","?"
"P14","Gnus","Yes","Yes","Yes","Yes","Yes","?","Yes","?","Yes","Yes","Yes","?","?","Yes"
"P15","GroupWise","Yes","Yes","Yes","Yes","?","?","Yes","?","?","?","?","?","?","?"
"P16","i.Scribe / InScribe","Read-only","Yes","Yes","Yes","No","?","Yes","?","Yes","No","No","No","No","No"
"P17","IBM Notes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes 
(4.1.2+)","Yes","Yes,","Yes","Yes"
"P18","KMail","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes 
(with GPG)","Yes 
(1.5+, with GPGME)","Yes","Yes","Yes","?"
"P19","Libremail","Read-only","Yes","Yes","","Yes","No","No","No","No","No","No","No","No","No"
"P20","Mail (OS X)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"P21","Mailbird","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","No","No","No","No","No"
"P22","Microsoft Entourage","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","Yes","Yes","?","?","Yes"
"P23","Microsoft Office Outlook","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes (2010+)","No","No","Yes","?","?","?"
"P24","Mozilla Mail & Newsgroups","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"P25","Mozilla Thunderbird","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes"
"P26","Mulberry","Yes","Yes","Yes","No","Yes","?","Yes","?","Yes","Yes","Yes","?","?","?"
"P27","Mutt","Read-only","Yes","Yes
(no support for images)","Yes","?","?","Yes","?","Yes","Yes","Yes","?","Yes (with GPGME)","?"
"P28","Netscape Messenger","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"P29","Netscape Messenger 9","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"P30","nmh / MH","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"P31","Opera Mail","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No"
"P32","Outlook Express","Yes","Yes","Yes","No","?","?","Yes","?","Yes","No","Yes","?","?","?"
"P33","Pegasus Mail","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes
(sending is broken)","?","No","No","No"
"P34","Pine","Read-only","Yes","Yes","No","?","?","Yes","?","Yes 
(with Pine Privacy Guard)","No","Yes","?","?","?"
"P35","Pocomail","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?"
"P36","SeaMonkey Mail & Newsgroups","Yes","Yes","Yes","Yes","?","Yes","Yes","?","Yes","Yes","Yes","Yes","?","Yes"
"P37","Spicebird","Yes","Yes","Yes","Yes","?","Yes","Yes","?","Yes","Yes","Yes","Yes","?","Yes"
"P38","SquirrelMail","Yes","Yes","Yes","Yes","Yes","Yes (depends on antivirus)","Yes","?","?","Yes","Yes","?","?","?"
"P39","Sylpheed","No","Yes","Yes","Yes","?","?","Yes","?","No","Yes","?","?","?","?"
"P40","The Bat!","Yes","Yes","Yes","Yes","Yes","?","Yes","?","Yes","Yes","Yes","Partial","Partial","Yes"
"P41","Trojitá","Read only","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","No","No","No"
"P42","Turnpike","Read-only","?","?","?","?","?","?","?","?","?","?","?","?","?"
"P43","Wanderlust","Read-only","Yes","Yes","Yes","?","No","Yes","No","No","Yes","?","?","?","?"
"P44","Windows Live Mail","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","?","?","?"
"P45","Windows Mail","Yes","Yes","?","Yes","?","?","?","?","?","?","?","?","?","?"
"P46","YAM","?","Yes","?","?","?","?","?","?","?","?","?","?","?","?"
"P47","Zimbra","Yes","Yes","Yes","Yes","Yes","Yes (depends on antivirus)","Yes","?","?","No","?","?","?",""
