"Name","Connectivity","Connectivity","OS compatibility","OS compatibility","OS compatibility","OS compatibility","Integrated software","Protocol compliancy","","","","","",""
"Name","USB","USB","OS compatibility","OS compatibility","OS compatibility","OS compatibility","Integrated software","Protocol compliancy","","","","","",""
"Name","Mini-B port","2.0","Wi-Fi","Bluetooth","Linux","Mac OS X","Integrated software","XP","2000","9x","MSC","MTP","",""
"Name","Mini-B port","2.0","Wi-Fi","Bluetooth","Linux","Mac OS X","Vista","XP","2000","9x","MSC","Integrated software","MTP",""
"Archos 105","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","WMP through MTP","Yes","Yes",""
"Archos 405","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","WMP through MTP","Yes","Yes",""
"Archos 5","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Me","WMP through MTP","Yes","Yes",""
"Archos 605 WiFi / GPS","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","WMP through MTP","Yes","Yes",""
"Archos 705 WiFi","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","WMP through MTP","Yes","Yes",""
"Cowon A3","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Me","jetAudio","Yes","Yes",""
"Cowon D2","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","jetAudio","Yes","Yes",""
"Cowon Q5W","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Me","jetAudio","Yes","Yes",""
"Gigabeat T400","Yes","Yes","No","No","No","No","Yes","Yes","No","No","WMP through MTP","No","Yes",""
"GP2X F-200","Unknown","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","N/A","N/A","N/A",""
"iPod classic","No","Yes","No","No","No","Yes","Yes","Yes","Yes","No","iTunes","No","No",""
"iPod nano 4G","No","Yes","No","No","No","Yes","Yes","Yes","Yes","No","iTunes","No","No",""
"iPod touch 1G","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","iTunes","No","No",""
"iPod touch 2G - 5G","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","iTunes","No","No",""
"iriver clix 2G","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","iriver plus
Rhapsody","Yes","Yes",""
"PSP Slim & Lite","Yes","Yes","Yes","PSP Go only","Yes","Yes","Yes","Yes","Yes","No","Media Go","Yes","No",""
"Samsung Galaxy Player","No","Yes","Yes","Yes","No","No","Yes","Yes","No","No","WMP through MTP","No","Yes",""
"Samsung T10","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","EmoDio","No","Yes",""
"Samsung P2","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","EmoDio","Yes","Yes",""
"Sansa Fuze","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","MSC","WMP through MTP","Yes","Yes",""
"Sansa Fuze+","micro B","Yes","No","No","Yes","Yes","Yes","Yes","Yes","MSC","WMP through MTP","Yes","Yes",""
"Walkman NWZ-A810 series","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","WMP through MTP","Yes","Yes",""
"ZEN","Yes","Yes","No","No","No","No","Yes","Yes","No","No","Creative MediaSource","No","Yes",""
"ZEN Vision W","Yes","Yes","No","No","No","No","Yes","Yes","No","No","Creative MediaSource","No","Yes",""
"Zune","No","Yes","Yes","No","No","No","Yes","Yes","No","No","Zune Software","No","Yes",""
"ZVUE 260","Unknown","Yes","No","No","No","Yes","No","Yes","No","No","ZAPP","No","No",""
