"IDE","Developer","Latest stable release","Platform","License"
"Eclipse DLTK","","5.0","Windows, Linux, Mac OS X, FreeBSD, JVM, Solaris","EPL"
"Komodo IDE / Edit","ActiveState","8.5.3","Cross-platform","IDE:Proprietary, Edit:GPL, LGPL, MPL"
