"Name","Release date","RTM build","Current version","Status support","License","Codename","Based on (kernel)","Supported architectures"
"Windows Pocket PC 2002","","","","","","","CE 3.0",""
"Windows Mobile 2003","2003-06-23","","","","","Ozone","CE 4.20",""
"Windows Mobile 5.0","2005-05-9/12","","","","","Magneto","CE 5.0",""
"Windows Mobile 6.0","2007-02-12","","","","","Crossbow","CE 5.2",""
"Windows Mobile 6.1","2008-04-01","","","","","","",""
"Windows Mobile 6.5","2009-05-18","","","","","","",""
