"Products","Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Fillrate","Fillrate","Memory","Memory","Memory"
"Products","Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","MOperations/s","MPixels/s","MTextels/s","MVertices/s","Bandwidth (GB/s)","Bus type","Bus width (bit)"
"P22","","","","","","","","","","","","","","","",""
"P1","GeForce 6100 + nForce 410","October 20, 2005","MCP51","90","HyperTransport","Up to 256 system RAM","425","200-400 (DDR)
400-1066 (DDR2)","2:1:2:1","850","425","850","106.25","1.6-6.4 (DDR)
3.2-17.056 (DDR2)","DDR
DDR2","64
128"
"P2","GeForce 6150 SE + nForce 430","June 2006","MCP61","90","HyperTransport","Up to 256 system RAM","425","400
800","2:1:2:1","850","425","850","106.25","3.2
16.0","DDR2","64
128"
"P3","GeForce 6150 LE + nForce 430","June 2006","MCP61","90","HyperTransport","Up to 256 system RAM","425","200-400 (DDR)
400-1066 (DDR2)","2:1:2:1","850","425","850","106.25","1.6-6.4 (DDR)
3.2-17.056 (DDR2)","DDR
DDR2","64
128"
"P4","GeForce 6150 + nForce 430","October 20, 2005","MCP51","90","HyperTransport","Up to 256 system RAM","475","200-400 (DDR)
400-1066 (DDR2)","2:1:2:1","950","475","950","118.75","1.6-6.4 (DDR)
3.2-17.056 (DDR2)","DDR
DDR2","64
128"
"P5","GeForce 6200 LE","2005","NV44","110","AGP 8x
PCI-E x16","128
256","350","532","2:1:2:2","700","700","700","87.5","4.256","DDR","64"
"P6","GeForce 6200A","April 4, 2005","NV44A","110","AGP 8x","128","350","500","4:2:4:4","1400","1400","1400","175","4","DDR","64"
"P7","GeForce 6200","October 12, 2004 (PCI-E)
January 17, 2005 (AGP)","NV43","110","AGP 8x
PCI
PCI-E x16","128
256","300","550","4:3:4:2","1200","600","1200","225","8.8","DDR2","128"
"P8","GeForce 6200 TurboCache","December 15, 2004","NV44","110","PCI-E x16","128-256 System RAM incl.16/32-64/128 onboard","350","700","4:3:4:2","1400","700","1400","262.5","5.6","DDR","64"
"P9","GeForce 6500","October 1, 2005","NV44","110","PCI-E x16","128
256","400","666","4:3:4:2","1600","800","1600","300","5.328","DDR","128"
"P10","GeForce 6600 LE","2005","NV43","110","AGP 8x
PCI-E x16","128
256","300","400","4:3:4:4","1200","1200","1200","225","6.4","DDR","128"
"P11","GeForce 6600","August 12, 2004","NV43","110","AGP 8x
PCI-E x16","128
256","300","550","8:3:8:4","2400","1200","2400","225","8.8","DDR","128"
"P12","GeForce 6600 GT","August 12, 2004 (PCI-E)
November 14, 2004 (AGP)","NV43","110","AGP 8x
PCI-E x16","128
256","500","950 (AGP)
1000 (PCI-E)","8:3:8:4","4000","2000","4000","375","15.2 (AGP)
16 (PCI-E)","GDDR3","128"
"P13","GeForce 6800 LE","July 22, 2004 (AGP)
January 16, 2005 (PCI-E)","NV40 (AGP)
NV41 (PCI-E)","130","AGP 8x
PCI-E x16","128","320 (AGP)
325 (PCI-E)","700","8:4:8:8","2560 (AGP)
2600 (PCI-E)","2560 (AGP)
2600 (PCI-E)","2560 (AGP)
2600 (PCI-E)","320 (AGP)
325 (PCI-E)","22.4","DDR","256"
"P14","GeForce 6800 XT","September 30, 2005","NV40 (AGP)
NV41 (PCI-E)","130","AGP 8x
PCI-E x16","256","325","700","8:4:8:8","2600","2600","2600","325","22.4","DDR","256"
"P15","GeForce 6800","April 14, 2004 (AGP)
November 8, 2004 (PCI-E)","NV40 (AGP)
NV41 (PCI-E)","130","AGP 8x
PCI-E x16","128
256","325","700","12:5:12:12","3900","3900","3900","406.25","22.4","DDR","256"
"P16","GeForce 6800 GTO","April 14, 2004","NV45","130","PCI-E x16","256","350","900","12:5:12:12","4200","4200","4200","437.5","28.8","GDDR3","256"
"P17","GeForce 6800 GS","November 7, 2005 (PCI-E)
December 8, 2005 (AGP)","NV40 (AGP)
NV42 (PCI-E)","130","PCI-E x16","128
256","425","1000","12:5:12:12","5100","5100","5100","531.25","32","GDDR3","256"
"P18","GeForce 6800 GT","May 4, 2004 (AGP)
June 28, 2004 (PCI-E)","NV40 (AGP)
NV45 (PCI-E)","130","AGP 8x
PCI-E x16","128
256","350","1000","16:6:16:16","5600","5600","5600","525","32","GDDR3","256"
"P19","GeForce 6800 Ultra","May 4, 2004 (AGP)
June 28, 2004 (PCI-E)
March 14, 2005 (512 MB)","NV40 (AGP)
NV45 (PCI-E)","130","AGP 8x
PCI-E x16","256
512","400","1050 (512 MB)
1100 (256 MB)","16:6:16:16","6400","6400","6400","600","33.6 (512 MB)
35.2 (256 MB)","GDDR3","256"
"P20","GeForce 6800 Ultra Extreme","May 4, 2004","NV40","130","AGP 8x","256","450","1100","16:6:16:16","7200","7200","7200","675","35.2","GDDR3","256"
"P21","","","","","","","","","","","","","","","",""
