"","Trident","Gecko","WebKit","Presto","Blink"
"Called as function","Called as function","Called as function","Called as function","Called as function","Called as function"
"Object([value])","Yes","Yes","Yes","Yes","Yes"
"Called as constructor","Called as constructor","Called as constructor","Called as constructor","Called as constructor","Called as constructor"
"new Object([value])","4.0","Yes","Yes","Yes","Yes"
"Properties","Properties","Properties","Properties","Properties","Properties"
"prototype","4.0","Yes","Yes","Yes","Yes"
"Properties of prototype","Properties of prototype","Properties of prototype","Properties of prototype","Properties of prototype","Properties of prototype"
"constructor","4.0","Yes","Yes","Yes","Yes"
"toString()","4.0","Yes","Yes","Yes","Yes"
"toLocaleString()","4.0","Yes","Yes","Yes","Yes"
"valueOf()","4.0","Yes","Yes","Yes","Yes"
"hasOwnProperty(V)","5.5","Yes","3","Yes","Yes"
"isPrototypeOf(V)","5.5","Yes","3","Yes","Yes"
"propertyIsEnumerable(V)","5.5","Yes","3","Yes","Yes"
