"Software","Creator","Edition","Release Date","Cost (USD)","Open source","Software license","Implementation"
"Adeptia Integration Suite","Adeptia","5.3","March 2012","1800 / Month","No","proprietary",""
"AdroitLogic UltraESB","AdroitLogic","1.6.1","Oct 2011","Free / Commercial Support Available","Yes","AGPL",""
"Apache Camel","Apache Software Foundation","2.13.2","July 2014","Free/Commercial support available","Yes","Apache Software License",""
"Apache Synapse","Apache Software Foundation","2.0","November 2010","Free / Commercial support available","Yes","Apache Software License",""
"Artix ESB","Progress Software","5.x","2003","","No","proprietary",""
"Astera Software Centerprise Data Integrator","Astera Software","6.0","Sept 2013","Varies","No","proprietary",""
"Automation Anywhere Integration Pack","Automation Anywhere","6.1","Feb 2011","$5500","No","proprietary",""
"BizTalk Server","Microsoft","2013 R2","June 2014","Enterprise Edition: $10,835 per core; Standard Edition: $2,485 per core; Branch Edition: $620 per core; Developer Edition - per seat, available under Volume or MSDN licence.","No","proprietary","Enterprise Service Bus"
"SharePoint Server","Microsoft","2013","2013","","No","proprietary/SaaS","Dynamic Case Management"
"Flow Software","Flow Software Ltd","2.3.0","May, 2010","Free Community Edition, and Enterprise licenses","No","proprietary",""
"FUSE ESB - Enterprise ServiceMix","FuseSource","4.x","2007","","Yes","based on Apache Software License",""
"Informatica Power Center","Informatica","8.5","October 2007","Varies: 50,000 - 100,000 generally","No","proprietary",""
"JBoss Enterprise Service Bus (ESB)","JBoss, a division of Red Hat, Inc.","4.12","March 2013","Free / Commercial support available","Yes","LGPL","Enterprise Service Bus"
"JBoss Enterprise SOA Platform","JBoss, a division of Red Hat, Inc.","5.1","February 2011","Free / Commercial support available","Yes","LGPL",""
"Jitterbit","Jitterbit","2.0","May 2008","","Yes","JPL",""
"Magic xpi Integration Platform","Magic Software Enterprises","1.0","May 2012","","No","proprietary",""
"Linx 5","Twenty57.com","5.0","Feb 2014","free beta","No","proprietary",""
"Openadaptor","The Software Conservancy","3.4.6","February 2011","Free","Yes","variant of MIT",""
"Mule ESB","MuleSoft","3.5.0","Jule 2014","","Yes","CPAL",""
"OpenESB","OpenESB Community","2.3.1","April 2013","Supported By PYMMA and LogiCoy Inc. http://Pymma.com http://logicoy.com/support","Yes","CDDL",""
"SEEBURGER Business Integration Server","SEEBURGER AG","6.5.2","January 2015","Varies","No","proprietary","ESB, BPEL"
"OpenLink Virtuoso","OpenLink Software","4.5","2001","850 per value unit","Yes","Dual (GPL or proprietary)",""
"Oracle BPEL Process Manager","Oracle Corporation","12.1.3.0.0","June 2014","Varies","No","proprietary",""
"Oracle Enterprise Service Bus","Oracle Corporation","12.1.3.0.0","June 2014","Varies","No","proprietary",""
"PEtALS ESB","OW2 Consortium","3.1.3","July 2011","Free / Commercial support available","Yes","LGPL",""
"Sonic ESB","Progress Software","8.x","2011","","No","proprietary","Enterprise Service Bus"
"SAP NetWeaver Process Integration (short SAP PI)","SAP AG","7.3","2011","Varies","No","proprietary",""
"ServiceMix","Apache Software Foundation","5.1.1","July 2014","free/commercial support available","Yes","Apache Software License",""
"Spagic","Engineering group","3.0","May 2010","free / Commercial support","Yes","LGPL",""
"Sun Java Composite Application Platform Suite","Sun Microsystems","6","June 2008","$100 per employee per year subscription, perpetual per socket licensing available","No","proprietary",""
"Talend ESB","Talend","6.0","June 2015","Free / Commercial support available / Subscription","Yes","[Apache Software License] / [GPL] / Subscription","Talend ESB"
"TrackerSuite.Net","Automation Centre","4.0","June 2012","Based on number of users and modules utilized. Available as SaaS, or as a licensed installation.","No","proprietary",""
"Unify NXJ","Unify Corporation","11","","","No","proprietary",""
"webMethods Integration Server","Software AG","9.0","May 2013","varies","No","Proprietary","Enterprise Service Bus"
"WebSphere Enterprise Service Bus","IBM","7.0.0.3","Sept 2010","250 per Value Unit","No","proprietary",""
"WebSphere Message Broker","IBM","7.0.0.1","July 2010","$85,000 enterprise edition, $25,000 starter edition (up to ten message flows), $15,000 remote adapter hosting edition","No","proprietary","Enterprise Service Bus"
"WebSphere Process Server","IBM","7.0.0.3","Sept 2010","850 per Value Unit","No","proprietary",""
"WSO2 Enterprise Service Bus (ESB)","WSO2","4.7.0","July 2013","Free / Commercial support available","Yes","Apache Software License",""
