"Driver family","Driver","Chipsets","Integration in mainline","Non-free firmware required","License","Development"
"adm8211","adm8211","ADMtek ADM8211 (IEEE 802.11b MAC/BBP","Yes","Yes","GPLv2","with support from Infineon/ADMtek"
"at76c50x-usb at76c50x-usb","at76c50x-USB","Atmel AT76C503/AT76C505 based USB WLAN adapters","Yes","Depends on the model","GPLv2","?"
"","acx100","Texas Instruments ACX100, ACX111, TNETW1450","No","Yes","Dual BSD/MPL","Reverse engineered"
"airo","airo","Cisco Systems Aironet 4500/4800 and 340/350","Yes","No","Dual GPLv2 and BSD","?"
"ath","ar5523","Qualcomm Atheros AR5523 based USB dongles","Yes","No","ISC","Reverse engineered"
"ath","ath5k","Qualcomm Atheros AR2413, AR2414, AR2417, AR2425, AR5210, AR5211, AR5212, AR5213, AR5413, AR5414, AR5423, AR5424","Yes (since 2.6.25)","No","Dual GPL/BSD","Reverse engineered"
"ath","ath6kl","Qualcomm Atheros AR6003, AR6004 (SDIO), AR6004 (USB)","Yes","Yes","ISC","Written by Qualcomm Atheros"
"ath","ath9k","Qualcomm Atheros chips with IEEE 802.11n support","Yes (since 2.6.27)","No","ISC","Written by Qualcomm Atheros"
"ath","ath9k_htc","Qualcomm Atheros AR9271, AR7010 (USB-PCIe bridge with AR928x chips)","Yes (since 2.6.35)","No","ISC","Written by Qualcomm Atheros"
"ath","ath10k","Qualcomm Atheros chips with IEEE 802.11ac support","Yes (since 3.11)","Yes","ISC","Written by Qualcomm Atheros"
"ath","carl9170","Qualcomm Atheros AR9170 (802.11n USB)","Yes (since 3.0)","No","GPL","Qualcomm Atheros supported"
"ath","wil6210","Wilocity wil6210, 802.11ad 60GHz","Yes","Yes","ISC","Written by Qualcomm Atheros"
"atmel","atmel","Atmel at76c502 at76c504 and at76c506 wireless cards","Yes","No","GPLv2+","Reverse engineered"
"b43","b43","Some Broadcom 43xx","Yes (since 2.6.24)","Experimental OSS firmware","GPL","Reverse engineered"
"b43legacy","b43legacy","Some Broadcom 43xx","Yes (since 2.6.24)","Experimental OSS firmware","GPL","Reverse engineered"
"brcm80211","brcmfmac","Broadcom 4329, 4330, 4334, 43235, 43236, 43238","Yes (since 3.2)","Yes","ISC","Written by Broadcom"
"brcm80211","brcmsmac","Broadcom 4313, 43224, 43225","Yes (since 3.2)","Yes","ISC","Written by Broadcom"
"cw1200","cw1200","ST-Ericsson CW1100 & CW1200 WLAN chipsets","Yes (since 3.11)","Yes","GPLv2","?"
"hostap","HostAP","Intersil PRISM-II, PRISM-2.5, PRISM 3","Yes","Depends on the model","GPLv2",""
"ipw2x00","ipw2x00","Intel PRO/Wireless 2100 and 2200 Network Connection 802.11b","Yes","Yes","GPL","Written by Intel"
"iwlegacy","iwlegacy","Intel Wireless WiFi 4965AGN","Yes","","",""
"iwlwifi","iwlwifi","Intel Wireless WiFi Next Gen AGN - Wireless-N/Advanced-N/Ultimate-N: 6250AGN, 6200AGN, 6300AGN 1000BGN, 5150AGN, 5100AGN, 5300AGN, 5350AGN, 6005, 6030, 6150BGN, 100BGN and 130BGN, 2000","Yes","Yes","Dual GPL/BSD","Written by Intel"
"libertas","libertas","Marvell 88W8686 SDIO  Libertas 8388 (USB) 802.11b/g, 8385 (CompactFlash) 802.11b/g, 8385/8686/8688 (SDIO) 802.11b/g, 8686 (SPI) 802.11b/g 88W8388","Yes","Yes","GPL","Marvell supported"
"libertas_tf","libertastf","Marvell 8388 (USB) WLAN Thinfirm Driver (OLPC)","Yes","","GPL","cozybit, Marvell supported"
"mwifiex","mwifiex","WiFi-Ex Driver for Marvell SD8786/SD8787/SD8797 (SDIO), 8766/8897 (PCIe) and 88W8797 (USB)","Yes","Yes","GPLv2","Written by Marvell"
"mwl8k","mwl8k","Marvell TOPDOG 802.11 Wireless cards: 88W8366, 88W8863, 88W8687, 88W8764","Yes","Yes","GPLv2","Written by Marvell"
"orinoco","orinoco","Lucent Hermes (WaveLAN/ ORiNOCO); Intersil PRISM-II, PRISM-2.5; Symbol Spectrum24 802.11B","Yes","Required for WPA support","",""
"p54","p54","","Yes","Yes","",""
"prism54","prism54","","Yes","","","Reverse engineered; Obsoleted by p54."
"rt2x00","rt2400pci","MediaTek (Ralink) RT2460","Yes (since 2.6.24)","No","GPLv2+","rt2x00.serialmonkey.com; From partial documentation and GPL drivers by Ralink"
"rt2x00","rt2500pci","RT2560","Yes","No","GPLv2+","rt2x00.serialmonkey.com"
"rt2x00","rt61pci","RT2561, RT2561S, RT2661","Yes","Yes","GPLv2+","rt2x00.serialmonkey.com"
"rt2x00","rt2800pci","RT2760, RT2790, RT2860, RT2880, RT2890, RT3052, RT3090, RT3091, RT3092
RT3390, RT3060, RT3062, RT3562, RT3592, RT5390, RT3290","Yes","Yes","GPLv2+","rt2x00.serialmonkey.com"
"rt2x00","rt2500usb","RT2571 & RT2572","Yes","No","GPLv2+","rt2x00.serialmonkey.com"
"rt2x00","rt73usb","RT2571W, RT2573 & RT2671","Yes","Yes","GPLv2+","rt2x00.serialmonkey.com"
"rt2x00","rt2800usb","RT2770, RT2870 & RT3070, RT3071 & RT3072
RT3370, RT3572, RT5370, RT5572","Yes","Yes","GPLv2+","rt2x00.serialmonkey.com"
"rtl818x","rtl8180","RTL8180, RTL8185, RTL8187SE","Yes","No","GPL",""
"rtl818x","rtl8187","RTL8187, RTL8187B","Yes","No","GPL",""
"rtlwifi rtl-wifi","rtl8188ee","Realtek","Yes (since 2.6.38)","Yes","GPL","Written by Realtek et al. Forked from rtl8180-sa2400 project."
"rtlwifi rtl-wifi","rtl8192c","","Yes","","GPL","Written by Realtek et al."
"rtlwifi rtl-wifi","rtl8192ce","","Yes","Yes","GPL","Written by Realtek et al."
"rtlwifi rtl-wifi","rtl8192cu","","Yes","Yes","GPL","Written by Realtek et al."
"rtlwifi rtl-wifi","rtl8192de","","Yes","Yes","GPL","Written by Realtek et al."
"rtlwifi rtl-wifi","rtl8192se","","Yes","Yes","GPL","Written by Realtek et al."
"rtlwifi rtl-wifi","rtl8723ae","","Yes","Yes","GPL","Written by Realtek et al."
"rtlwifi rtl-wifi","rtl8188eu","RTL8188EU e.g. in the TP-Link TL-WN725N","Yes (since 3.12)","Yes","GPL","Written by Realtek et al."
