"Application","ISO 9660","Joliet","Rock Ridge","Amiga rock ridge","El Torito","Apple ISO9660","UDF","MRW"
"Alcohol 120%","Yes","Yes","No","No","No","No","No","No"
"CDBurnerXP","Yes","Yes","No","No","No","No","Yes","No"
"cdrtools","Yes","Yes","Yes","No","Yes","Yes","Yes","No"
"ImgBurn","Yes","Yes","No","No","Yes","No","Yes","No"
"InfraRecorder","Yes","Yes","?","?","?","?","Yes","?"
"K3b","Yes","Yes","Yes","?","Yes","No","Yes","No"
"Nero Burning ROM","Yes","Yes","No","No","Yes","Yes","Yes","Yes"
"PowerISO","Yes","?","No","No","No","No","Yes","No"
"UltraISO","Yes","Yes","?","?","?","?","Yes","?"
"X-CD-Roast","Yes","Yes","Yes","No","Yes","No","Yes","No"
"Application","ISO 9660","Joliet","Rock Ridge","Amiga rockridge","El Torito","Apple ISO9660","UDF","MRW"
