"Subject","Tryton","Odoo"
"Editor","Community","Odoo SA"
"Project type","Free Software created by community","Commercial Open Core"
"Professional Service Providers (November 2014)","16","535"
"Partnership Eligibility","Merit and contributions","Partner contract"
"Software License","GNU General Public License","GNU Affero General Public License (AGPLv3) Future: GNU Lesser General Public License with Contributor License Agreement"
