"","Shell command","Execute program","Replace current program with new executed program"
"Ada","Not part of the language standard. Commonly done by compiler provided packages or by interfacing to C or Posix.","Not part of the language standard. Commonly done by compiler provided packages or by interfacing to C or Posix.","Not part of the language standard. Commonly done by compiler provided packages or by interfacing to C or Posix."
"C","","",""
"C++","","",""
"Objective-C","","",""
"C#","","",""
"F#","","",""
"Go","","",""
"Visual Basic","","",""
"Visual Basic .NET","","",""
"Xojo","","","N/A"
"D","","",""
"Java","","",""
"JavaScript 
 Windows Script Host implementation","","",""
"Common Lisp","","",""
"Scheme","","",""
"ISLISP","N/A","N/A","N/A"
"Pascal","","",""
"OCaml","","",""
"Standard ML","","",""
"Haskell (GHC)","","",""
"Perl","","",""
"Ruby","","",""
"PHP","","",""
"Python","","",""
"S-Lang","","",""
"Fortran","","",""
"Windows PowerShell","","",""
"Bash shell","or","",""
