"Products","Chart type / Framework","Adobe Flex built-in charts","Axiis","BirdEye","Flare","Flexmonster","IBM ILOG Elixir","Kap IT Labs","yFiles","amCharts","AnyChart","LiveGap Chart",""
"Products","Cost","Adobe Flex built-in charts","Axiis","BirdEye","Flare","","IBM ILOG Elixir","Kap IT Labs","yFiles","amCharts","AnyChart","LiveGap Chart",""
"Products","License","Free","Free","BirdEye","Proprietary","Free (with link to amCharts) link-free from €85}","IBM ILOG Elixir","Kap IT Labs","yFiles","","AnyChart","",""
"Products","Open source","Open source","MPL","BirdEye","BSD","No","Non-free £556 (for EULA),
contact vendor for OEM","Free for non-commercial,
€2'500 (VAT excluded) for

full 1-developer package","Non-free
contact vendor for prices","Proprietary","Free (with link to AnyChart) Team license available}","No",""
"Products","Bar/Column charts","Simple","Yes","Yes","Free","Yes","Yes","Proprietary","Proprietary","Proprietary","Yes","Proprietary","Yes"
"P1","License","License","MPL","MIT","MIT","BSD","Proprietary","Proprietary","Proprietary","Proprietary","Proprietary","Proprietary","Free"
"P2","Open source","Open source","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No"
"P3","Bar/Column charts","Simple","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"P4","Bar/Column charts","Stacked","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes"
"P5","Bar/Column charts","Floating (Range)","Yes","Yes","No","No","No","No","No","No","Yes","Yes","Yes"
"P6","Bar/Column charts","Waterfall","Yes","Yes","No","No","No","No","No","No","Yes","Yes","No"
"P7","Bar/Column charts","Layered","No","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No"
"P8","Line charts","Simple","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"P9","Line charts","Spline (Curve)","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes"
"P10","Line charts","Step","Yes","No","No","No","No","Yes","No","No","Yes","Yes","Yes"
"P11","Pie charts","Simple","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"P12","Pie charts","Doughnut (Ring)","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes"
"P13","Pie charts","Exploded","Yes","No","No","No","No","Yes","Yes","No","No","Yes","No"
"P14","Pie charts","Stacked","No","Yes","Yes","No","No","Yes","Yes","No","No","Yes","No"
"P15","Area charts","Simple","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes"
"P16","Area charts","Spline (Curve)","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes"
"P17","Area charts","Stacked","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes"
"P18","Area charts","Floating (Range)","No","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes"
"P19","Area charts","Histogram (Step)","Yes","No","No","No","No","Yes","No","No","Yes","Yes","No"
"P20","Scatter plot charts","Simple","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No"
"P21","Scatter plot charts","Bubble","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","No"
"P22","Circular charts","Radar","No","No","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes"
"P23","Circular charts","Polar","No","No","Yes","No","No","No","No","No","Yes","Yes","Yes"
"P24","Accumulation charts","Pyramid","No","No","No","No","No","No","No","No","No","Yes","No"
"P25","Accumulation charts","Funnel","No","No","No","No","No","No","No","No","No","Yes","No"
"P26","Tree/Heat map charts","Tree map","No","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No"
"P27","Tree/Heat map charts","Heat map","No","No","No","No","No","Yes","No","No","No","No","No"
"P28","Finance charts","OHLC","Yes","No","No","No","No","No","No","No","Yes","No","No"
"P29","Finance charts","Candlestick","Yes","No","No","No","No","No","No","No","Yes","No","No"
"P30","Finance charts","Kagi","No","No","No","No","No","No","No","No","No","No","No"
"P31","Gauge charts","Gauge charts","No","No","No","No","No","Yes","No","No","No","Yes","No"
"P32","Cartogram charts","Cartogram charts","No","No","Yes","No","No","Yes","No","No","No","No","No"
"P33","Gantt chart","Gantt chart","No","No","No","No","No","Yes","No","No","No","Yes","No"
"P34","Dependency graphs","Dependency graphs","No","No","Yes","Yes","No","Yes","Yes","Yes","No","No","No"
"P35","Nomograms","Smith chart","No","Yes","No","No","No","No","No","No","No","No","No"
"P36","Organizational chart","Organizational chart","No","No","No","No","No","Yes","Yes","Yes","No","No","No"
"P37","Flow chart","Flow chart","No","No","No","No","No","Yes","Yes","Yes","No","No","No"
