"Format","Languages"
"IF string<string THEN -1 ELSE ABS (string>string) FI","ALGOL 68"
"cmp(string, string)","Python (before 3.0 only)"
"(string > string) - (string < string)","Python (since 3.0)"
"strcmp(string, string)","C, PHP"
"std.string.cmp(string, string)","D"
"StrComp(string, string)","VB, Object Pascal (Delphi)"
"string cmp string","Perl"
"string compare: string","Smalltalk (Squeak,Pharo)"
"string <=> string","Ruby"
"string.compare(string)","C++ (STL), Swift (Foundation)"
"compare(string, string)","REXX, Seed7"
"CompareStr(string, string)","Pascal, Object Pascal (Delphi)"
"string.compareTo(string)","Cobra, Java"
"string.CompareTo(string)","VB .NET, C#, F#"
"(= string string)","Clojure"
"(string= string string)","Common Lisp"
"(string-compare string string p< p= p>)","Scheme (SRFI 13)"
"(string= string string)","ISLISP"
"compare string string","OCaml"
"String.compare (string, string)","Standard ML"
"compare string string","Haskell"
"[string]::Compare(string, string)","Windows PowerShell"
"[string compare:string]","Objective-C (NSString * only)"
"LLT(string,string) 
 LLE(string,string) 
 LGT(string,string) 
 LGE(string,string)","Fortran"
"string.localeCompare(string)","JavaScript"
"bytes.Compare([]byte(string), []byte(string))","Go"
"string compare ?-nocase? ?-length int? string string","Tcl"
"compare(string,string,count)","PL/I"
