"Company","Software","On-demand
 scan","On-access
 scan","Boot-time
 scans","Heuristics","CloudAV","Firewall","IDS","IPS","Email Security","AntiSpam","Web protection","Macro protection","Live
Update","Support","Virus Bulletin VB100","AV
 Comparatives","AV
Test","OPSWAT","License","Price","First release","Country of origin","Original author/s","Notes"
"Agnitum","Outpost AntiVirus Pro","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No","","Proprietary","Non-free","2007","Russia","",""
"Agnitum","Outpost Security Suite","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","","Proprietary","Non-free","2008","Russia","",""
"AhnLab","AhnLab V3 Internet Security","Yes","Yes","No","Yes","No","No","No","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","","Proprietary","Non-free","1988","South Korea","Dr. Ahn Cheol-Soo",""
"Avast","Avast Free Antivirus","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Proprietary","Free","1988","Czech Republic","Pavel Baudiš and Eduard Kučera",""
"Avast","Avast Pro Antivirus","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","{{}}","Yes","","Proprietary","Trialware","1997","Czech Republic","Pavel Baudiš and Eduard Kučera",""
"Avast","Avast Internet Security","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","{{}}","{{}}","{{}}","","Proprietary","Trialware","2009","Czech Republic","Pavel Baudiš and Eduard Kučera",""
"Avast","Avast Premier","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","{{}}","{{}}","{{}}","","Proprietary","Trialware","2012","Czech Republic","Pavel Baudiš and Eduard Kučera",""
"Avetix","Avetix Free","Yes","Yes","No","Yes","No","No","No","No","No","No","Yes","No","Yes","Yes","Yes","No","No","","Proprietary","Free","2012","Italy","",""
"Avetix","Avetix Pro","Yes","Yes","No","Yes","No","No","No","No","No","No","Yes","No","Yes","Yes","Yes","No","No","","Proprietary","Non-free","2012","Italy","",""
"AVG Technologies (Grisoft)","AVG Antivirus FREE","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Proprietary","Free","1992","Czech Republic","Jan Gritzbach and Tomáš Hofer",""
"AVG Technologies (Grisoft)","AVG Antivirus","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Proprietary","Non-free","2006","Czech Republic","Jan Gritzbach and Tomáš Hofer",""
"AVG Technologies (Grisoft)","AVG Internet Security","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Proprietary","Non-free","2008","Czech Republic","Jan Gritzbach and Tomáš Hofer",""
"Avira","Avira Antivirus FREE (formerly AntiVir)","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Proprietary","Free","1988","Germany","Tjark Auerbach",""
"Avira","Avira Internet Security","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Proprietary","Non-free","2002","Germany","Tjark Auerbach",""
"Bitdefender","Bitdefender Antivirus Free","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","Yes","Yes","Yes","No","No","N/A","Proprietary","Free","2013","Romania","",""
"Bitdefender","Bitdefender Antivirus Plus","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","","Proprietary","Non-free","1996","Romania","",""
"Bitdefender","Bitdefender Internet Security","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","","Proprietary","Non-free","2008","Romania","",""
