"Products","Client","Label messages","Label messages","Label messages","Label messages","Reformat received messages","Reformat received messages","Bi-directional text support","Composing messages","Composing messages","Composing messages","Native images preview","Native images preview","Native images preview","Native images preview","Native images preview","Postpone / scheduled message sending","Native documents preview","Native documents preview","Native documents preview","Native documents preview","Native documents preview","Native documents preview","Native documents preview"
"Products","Client","with colors","with flag","antidelete","add note","edit headers (e.g., Subject)","forced recode","Bi-directional text support","Signatures","Bottom-posts replies","jpeg","gif","bmp","png","others","txt","Postpone / scheduled message sending","doc","xls","odt","ods","others","",""
"P1","Alpine","Yes","Yes","?","?","?","?","?","Yes","Yes","?","?","?","?","?","?","Yes","Yes","?","?","?","?","?","?"
"P2","Atmail","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"P3","Becky! Internet Mail","Yes","Yes","?","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?"
"P4","Citadel","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"P5","Claws Mail","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","with a plugin","?","?","?","?","?"
"P6","Cone","Yes","Yes","Yes","No","?","?","?","Yes","No","?","No","No","No","No","No","?","?","?","?","?","?","?","?"
"P7","Courier","Yes","Yes","No","No","Yes","?","?","Yes","Yes","?","No","No","No","No","No","Yes","?","No","No","No","No","No","?"
"P8","Elm","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"P9","eM Client","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","?","?","?","?","?","?","?"
"P10","EmailTray","Yes","No","No","No","No","No","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","No","Yes","Yes","Yes","Yes","No","No","?"
"P11","Eudora","Yes","Yes","No","No","Yes","?","?","Yes","Yes","?","Yes","Yes","Yes","Yes","QuickTime","Yes","?","?","?","?","?","?","?"
"P12","Eureka Email","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"P13","Evolution","Yes","Yes","?","?","No","?","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?"
