"Model","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Shader clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Memory","Memory","Memory","Processing Power 
 GFLOPS","API support (version)","API support (version)","TDP (watts)","Notes"
"Model","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Shader clock (MHz)","Memory clock (MHz)","Core config","Pixel (GP/s)","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","Single precision","DirectX","OpenGL","TDP (watts)","Notes"
"Quadro FX 350M","G72GLM","90","PCIe 1.0 x16","256","450","450","900","3:4:4:2","0.9","1.8","14.4","GDDR3","128","","9.0c","2.1","15",""
"Quadro FX 360M","G86M","80","PCIe 1.0 x16","256","400","800","1200","16:8:4","1.6","3.2","9.6","DDR2","64","38.4","10.0","3.3","17",""
"Quadro FX 370M","G98M","65","PCIe 1.0 x16","256","550","1400","1200","8:4:4","2.2","2.2","9.6","GDDR3","64","33.6","10.0","3.3","20",""
"Quadro FX 380M","GT218M","40","PCIe 2.0 x16","512","625","1530","1600","16:8:4","2.5","5","12.8","GDDR3","64","73.44","10.1","3.3","25",""
"Quadro FX 560M","G73GLM","90","PCIe 1.0 x16","512","500","500","1200","5:12:12:8","4","6","19.2","GDDR3","128","","9.0c","2.1","35?",""
"Quadro FX 570M","G84M","80","PCIe 1.0 x16","512","475","950","1400","32:16:8","3.8","7.6","22.4","GDDR3","128","91.2","10.0","3.3","45",""
"Quadro FX 770M","G96M","65","PCIe 1.0 x16","512","500","1250","1600","32:16:8","4","8","25.6","GDDR3","128","119.0","10.0","3.3","35",""
"Quadro FX 880M","GT216M","40","PCIe 2.0 x16","1024","550","1210","1600","48:16:8","4.4","8.8","25.6","GDDR3","128","174.24","10.1","3.3","35",""
