"Name","Manager","Established","Notes","Countries blocked","Server side: all free software","Client side: non-free JS code","Developed and/or used CDE","Require free software on registration","Ad-free","Cost"
"Alioth","Debian Project","2003","Preference for Debian related projects","","Yes","No","FusionForge","?","Yes","Gratis"
"Assembla","Assembla, Inc","2005","","","No","?","?","No","Yes","15-day free trial. Commercial projects with customizable sets of tools and features."
"Beanstalk","Wildbit","2007","","","No","?","?","No","Yes","Gratis for one repository"
"BerliOS","FOKUS","2000","Abandoned in April 2014","","Yes","?","BerliOS","No","No","Gratis"
"Betavine","Vodafone","2007","","","No","?","?","No","No","Gratis"
"Bitbucket","Atlassian","2008","","","No","Yes","?","No","Yes","Free private repositories are limited to 5 users"
"CloudForge","Collabnet","2000","","","No","?","?","No","Yes","No"
"CodePlex","Microsoft","2006 (May)","","","No","?","?","No","Yes","Gratis"
"Fedora Hosted","Fedora Project","?","","","Yes","Yes","?","No","Yes","?"
"Freepository","?","1999","","","Yes","Yes","?","?","Yes","Gratis accounts have web access only."
"GitHub","GitHub, Inc","2008 (April)","","","No","yes","?","No","Yes","Gratis for public, paid for private."
"Gogs","Gogs Team","2014 (Feb)","","","?","Yes","?","No","Yes","Free"
"GitLab","GitLab B.V.","2011 (September)","","","No","yes","GitLab Community Edition (CE) free software, GitLab Enterprise Edition (EE) proprietary","No","Yes","Unlimited public and private repos, unlimited public and private collaborators"
"Gitorious","Powow AS","2008 (January)","Acquired by GitLab. gitorious.org will shut down end of May 2015","","Yes","Yes","?","No","Yes","?"
"Gna!","The Gna! people","2004 (January)","Only for free software projects. Code access review","","Yes","no","Savane","Yes","Yes","Gratis"
"GNOME Git Repositories","GNOME Foundation","2008","Accessing this resource is only granted to developers requesting explicit permission to existing GNOME module maintainers.","","Yes","No","Cgit","No","Yes","Gratis, but limited to a set of pre-approved developers, see Notes."
"GNU Savannah","Savannah Administration","2001 (January)","Project by the Free Software Foundation and projects with a GPL compatible license. Code access review","","Yes","no","Savane","Yes","Yes","Gratis"
"Google Code","Google","2006 (July)","Closing (new project creation disabled March 12, 2015).","Cuba, Iran, North Korea, Sudan, Syria","No","Yes","?","No","Yes","?"
"JavaForge","Intland Software","2005","For open-source projects only.","","No","No","?","No","Yes","Gratis"
"Launchpad","Canonical Ltd.","2004","Supports Bazaar for version-controlled repository hosting.  Git support is in beta.","","Yes","Yes","Launchpad","No","Yes","?"
"Ourproject.org","Comunes Collective","2002","For free software, free culture and free knowledge projects.","","Yes","Yes","?","No","Yes","Gratis"
"OW2 Consortium","OW2 Consortium","?","oriented on middleware technology.","","?","Yes","?","No","Yes","?"
"SEUL","?","1997 (May)","","","?","Yes","?","No","Yes","?"
"SourceForge","Dice Holdings","1999 (November)","For open-source projects only.","Cuba, Iran, North Korea, Sudan, Syria","Yes","No","Apache Allura","No","No","Gratis, commercial services are offered as well"
"Tigris.org","(community)","2000","Restricted to collaborative software development tools. Tigris.org is no longer accepting new project proposals.","","?","Yes","?","No","No","?"
