"","Trident","Gecko","WebKit","KHTML","Presto","Prince XML"
"XML namespace","5.0","1.0","?","Yes","1.0","5.1"
"xml:id","No","No","No","No","2.0","5.1"
"XML Events","No","1.8","?","?","1.0","?"
"XInclude","3.1","No","No","?","No","5.1"
"XML Fragment Interchange","?","?","?","?","?","?"
"Associating CSS","3.1","1.0","419","Yes","1.0","Yes"
