"Company","Profit-making Activity?","Commission","Card Processing Fee","Other Fees","Source"
"Total Giving","No","0%","Charity PayPal fees (1.4%+20p)","None",""
"Justgiving","Yes","5% including on gift aid","£0.13","£15+VAT/month",""
"Virgin Money Giving","No","2% excluding gift aid","£0.16","£100+VAT start-up fee",""
"everydayhero","Yes","4.25% excluding gift aid","£0.16","None",""
"PayPal","Unknown","1.4% (on domestic donations to non-profits)","£0.20","None",""
"Localgiving.com","No","5% including Gift Aid","£0.32","£60+VAT/year",""
"Bmycharity","Unknown (BMY Limited hosts the service and is for-profit)","0%","£0.16","£150 (+VAT?) start-up fee",""
"UK Toremet","No","5% including on GiftAid","PayPal fees","None",""
